loopId,description,cfihosId
CL-00001,Corrosion Loop 1 - Utilities Area 1,CFIHOS-00000043
CL-00002,Corrosion Loop 2 - Power Generation 2,CFIHOS-00000043
CL-00003,Corrosion Loop 3 - Power Generation 3,CFIHOS-00000043
CL-00004,Corrosion Loop 4 - Power Generation 3,CFIHOS-00000043
CL-00005,Corrosion Loop 5 - Power Generation 4,CFIHOS-00000043
CL-00006,Corrosion Loop 6 - Utilities Area 5,CFIHOS-00000043
CL-00007,Corrosion Loop 7 - Power Generation 6,CFIHOS-00000043
CL-00008,Corrosion Loop 8 - Power Generation 6,CFIHOS-00000043
CL-00009,Corrosion Loop 9 - Process Unit 7,CFIHOS-00000043
CL-00010,Corrosion Loop 10 - Tank Farm 8,CFIHOS-00000043
CL-00011,Corrosion Loop 11 - Utilities Area 9,CFIHOS-00000043
CL-00012,Corrosion Loop 12 - Utilities Area 9,CFIHOS-00000043
CL-00013,Corrosion Loop 13 - Tank Farm 10,CFIHOS-00000043
CL-00014,Corrosion Loop 14 - Tank Farm 10,CFIHOS-00000043
CL-00015,Corrosion Loop 15 - Process Unit 11,CFIHOS-00000043
CL-00016,Corrosion Loop 16 - Process Unit 11,CFIHOS-00000043
CL-00017,Corrosion Loop 17 - Process Unit 12,CFIHOS-00000043
CL-00018,Corrosion Loop 18 - Process Unit 12,CFIHOS-00000043
CL-00019,Corrosion Loop 19 - Tank Farm 13,CFIHOS-00000043
CL-00020,Corrosion Loop 20 - Tank Farm 13,CFIHOS-00000043
CL-00021,Corrosion Loop 21 - Tank Farm 14,CFIHOS-00000043
CL-00022,Corrosion Loop 22 - Tank Farm 14,CFIHOS-00000043
CL-00023,Corrosion Loop 23 - Offsite Pipeline Corridor 15,CFIHOS-00000043
CL-00024,Corrosion Loop 24 - Offsite Pipeline Corridor 15,CFIHOS-00000043
CL-00025,Corrosion Loop 25 - Process Unit 16,CFIHOS-00000043
CL-00026,Corrosion Loop 26 - Process Unit 16,CFIHOS-00000043
CL-00027,Corrosion Loop 27 - Power Generation 17,CFIHOS-00000043
CL-00028,Corrosion Loop 28 - Power Generation 18,CFIHOS-00000043
CL-00029,Corrosion Loop 29 - Power Generation 19,CFIHOS-00000043
CL-00030,Corrosion Loop 30 - Process Unit 20,CFIHOS-00000043
CL-00031,Corrosion Loop 31 - Utilities Area 21,CFIHOS-00000043
CL-00032,Corrosion Loop 32 - Process Unit 22,CFIHOS-00000043
CL-00033,Corrosion Loop 33 - Offsite Pipeline Corridor 23,CFIHOS-00000043
CL-00034,Corrosion Loop 34 - Offsite Pipeline Corridor 24,CFIHOS-00000043
CL-00035,Corrosion Loop 35 - Utilities Area 25,CFIHOS-00000043
CL-00036,Corrosion Loop 36 - Utilities Area 25,CFIHOS-00000043
CL-00037,Corrosion Loop 37 - Tank Farm 26,CFIHOS-00000043
CL-00038,Corrosion Loop 38 - Tank Farm 26,CFIHOS-00000043
