incidentId,detectedDate,incidentType,severity,nis2Reportable,reportedToAuthorityDate
INC-000001,2025-08-08T22:12:16,Suspicious Firmware Modification,High,true,2025-08-11T07:12:16
INC-000002,2025-08-11T12:36:12,Denial of Service,Medium,false,
INC-000003,2025-01-15T23:19:01,Anomalous Network Traffic,Medium,false,
INC-000004,2024-09-14T22:10:31,Malware Detection,Critical,true,2024-09-16T07:10:31
INC-000005,2026-05-15T08:36:13,Anomalous Network Traffic,Medium,false,
INC-000006,2024-12-05T17:32:04,Malware Detection,High,true,2024-12-06T17:32:04
INC-000007,2025-03-03T06:26:55,Unauthorized Access Attempt,Low,false,
INC-000008,2025-01-16T11:13:13,Suspicious Firmware Modification,Medium,false,
INC-000009,2025-02-04T11:34:25,Malware Detection,Low,false,
INC-000010,2024-11-10T12:10:30,Configuration Tampering,Critical,true,2024-11-11T06:10:30
INC-000011,2025-05-20T21:05:47,Denial of Service,High,true,2025-05-21T22:05:47
INC-000012,2025-12-18T13:24:50,Anomalous Network Traffic,Medium,false,
INC-000013,2025-05-02T21:04:53,Malware Detection,High,true,2025-05-05T12:04:53
INC-000014,2025-05-04T13:58:34,Denial of Service,Medium,false,
INC-000015,2024-10-21T13:01:28,Suspicious Firmware Modification,Critical,true,2024-10-23T13:01:28
INC-000016,2025-11-19T12:14:13,Configuration Tampering,Critical,true,2025-11-21T14:14:13
INC-000017,2025-01-11T04:53:55,Malware Detection,High,true,2025-01-11T09:53:55
INC-000018,2025-12-27T14:37:56,Configuration Tampering,Low,false,
INC-000019,2024-07-12T08:24:39,Configuration Tampering,Critical,true,2024-07-13T16:24:39
INC-000020,2026-01-18T14:35:29,Anomalous Network Traffic,High,true,2026-01-20T10:35:29
INC-000021,2024-12-29T19:46:02,Denial of Service,Medium,false,
INC-000022,2024-02-17T18:46:39,Malware Detection,Medium,false,
INC-000023,2024-01-13T22:46:37,Unauthorized Access Attempt,Critical,true,2024-01-14T01:46:37
INC-000024,2025-03-18T14:07:04,Unauthorized Access Attempt,High,true,2025-03-18T17:07:04
INC-000025,2024-08-07T17:56:25,Suspicious Firmware Modification,Medium,false,
INC-000026,2024-04-26T04:23:36,Denial of Service,High,true,2024-04-28T14:23:36
INC-000027,2024-10-23T01:55:00,Suspicious Firmware Modification,Low,false,
INC-000028,2024-12-30T10:48:04,Configuration Tampering,Medium,false,
INC-000029,2026-04-21T04:56:34,Configuration Tampering,Medium,false,
INC-000030,2024-02-19T16:08:28,Suspicious Firmware Modification,Critical,true,2024-02-21T11:08:28
INC-000031,2026-04-18T09:37:54,Suspicious Firmware Modification,High,true,2026-04-20T19:37:54
INC-000032,2024-04-18T15:22:37,Unauthorized Access Attempt,High,true,2024-04-20T21:22:37
INC-000033,2024-07-21T10:15:19,Suspicious Firmware Modification,Low,false,
INC-000034,2024-06-08T21:46:28,Malware Detection,Low,false,
INC-000035,2025-02-23T23:00:22,Malware Detection,Medium,false,
INC-000036,2024-10-14T15:43:32,Denial of Service,Medium,false,
INC-000037,2026-06-24T17:50:04,Anomalous Network Traffic,High,true,2026-06-27T01:50:04
INC-000038,2025-04-22T20:49:20,Configuration Tampering,Medium,false,
INC-000039,2026-04-03T02:34:09,Configuration Tampering,High,true,2026-04-05T04:34:09
INC-000040,2024-11-26T05:21:49,Configuration Tampering,Low,false,
INC-000041,2024-07-30T08:18:12,Unauthorized Access Attempt,Medium,false,
INC-000042,2026-03-26T03:15:42,Configuration Tampering,Medium,false,
INC-000043,2024-08-12T22:49:40,Anomalous Network Traffic,Medium,false,
INC-000044,2025-11-05T03:23:26,Denial of Service,Low,false,
INC-000045,2024-08-30T14:44:35,Suspicious Firmware Modification,Critical,true,2024-09-01T13:44:35
INC-000046,2024-11-14T23:10:43,Anomalous Network Traffic,High,true,2024-11-15T20:10:43
INC-000047,2025-09-30T10:13:58,Suspicious Firmware Modification,High,true,2025-10-01T11:13:58
INC-000048,2026-02-12T06:41:54,Configuration Tampering,Critical,true,2026-02-14T13:41:54
INC-000049,2025-08-21T21:03:47,Anomalous Network Traffic,Medium,false,
INC-000050,2025-08-23T06:09:05,Anomalous Network Traffic,Low,false,
INC-000051,2025-05-29T03:32:10,Configuration Tampering,High,true,2025-05-29T13:32:10
INC-000052,2024-08-04T10:08:18,Unauthorized Access Attempt,Critical,true,2024-08-05T21:08:18
INC-000053,2026-02-24T14:54:29,Anomalous Network Traffic,High,true,2026-02-26T17:54:29
INC-000054,2025-03-23T12:30:52,Unauthorized Access Attempt,Medium,false,
INC-000055,2024-02-01T07:31:03,Malware Detection,Critical,true,2024-02-04T04:31:03
