documentNumber,documentTitle,documentTypeId,revision,status,cfihosId
DOC-000001,Piping Isometric - Utilities Area 1 - Rev A,DT-ISOMETRIC,B,Issued for Review,CFIHOS-00000010
DOC-000002,Calibration Certificate - Utilities Area 1 - Rev C,DT-CALCERT,A,As-Built,CFIHOS-00000010
DOC-000003,Network Architecture Diagram - Utilities Area 1 - Rev A,DT-NETARCH,B,Approved for Construction,CFIHOS-00000010
DOC-000004,Single Line Diagram - Utilities Area 1 - Rev 0,DT-SLD,0,Superseded,CFIHOS-00000010
DOC-000005,Instrument Loop Diagram - Utilities Area 1 - Rev C,DT-LOOPDIAG,C,Issued for Review,CFIHOS-00000010
DOC-000006,Equipment Datasheet - Power Generation 2 - Rev A,DT-DATASHEET,B,As-Built,CFIHOS-00000010
DOC-000007,P&ID - Power Generation 2 - Rev 2,DT-PID,A,Issued for Review,CFIHOS-00000010
DOC-000008,Network Architecture Diagram - Power Generation 2 - Rev 0,DT-NETARCH,1,Superseded,CFIHOS-00000010
DOC-000009,Piping Isometric - Power Generation 2 - Rev B,DT-ISOMETRIC,1,Approved for Construction,CFIHOS-00000010
DOC-000010,Network Architecture Diagram - Power Generation 2 - Rev A,DT-NETARCH,C,Superseded,CFIHOS-00000010
DOC-000011,Piping Isometric - Power Generation 3 - Rev A,DT-ISOMETRIC,B,Superseded,CFIHOS-00000010
DOC-000012,P&ID - Power Generation 3 - Rev A,DT-PID,B,Issued for Review,CFIHOS-00000010
DOC-000013,Instrument Loop Diagram - Power Generation 3 - Rev C,DT-LOOPDIAG,C,Issued for Review,CFIHOS-00000010
DOC-000014,P&ID - Power Generation 3 - Rev 0,DT-PID,2,Superseded,CFIHOS-00000010
DOC-000015,Instrument Loop Diagram - Power Generation 3 - Rev 0,DT-LOOPDIAG,1,As-Built,CFIHOS-00000010
DOC-000016,Calibration Certificate - Power Generation 4 - Rev A,DT-CALCERT,0,Approved for Construction,CFIHOS-00000010
DOC-000017,P&ID - Power Generation 4 - Rev 0,DT-PID,A,Issued for Review,CFIHOS-00000010
DOC-000018,Network Architecture Diagram - Power Generation 4 - Rev 1,DT-NETARCH,0,Superseded,CFIHOS-00000010
DOC-000019,Equipment Datasheet - Power Generation 4 - Rev 0,DT-DATASHEET,A,Issued for Review,CFIHOS-00000010
DOC-000020,Risk Assessment Report - Power Generation 4 - Rev 2,DT-RISKREPORT,C,Approved for Construction,CFIHOS-00000010
DOC-000021,Single Line Diagram - Utilities Area 5 - Rev 0,DT-SLD,1,Superseded,CFIHOS-00000010
DOC-000022,Equipment Datasheet - Utilities Area 5 - Rev 0,DT-DATASHEET,C,Issued for Review,CFIHOS-00000010
DOC-000023,Calibration Certificate - Utilities Area 5 - Rev B,DT-CALCERT,A,Approved for Construction,CFIHOS-00000010
DOC-000024,Single Line Diagram - Power Generation 6 - Rev C,DT-SLD,C,As-Built,CFIHOS-00000010
DOC-000025,Equipment Datasheet - Power Generation 6 - Rev B,DT-DATASHEET,C,As-Built,CFIHOS-00000010
DOC-000026,Instrument Loop Diagram - Power Generation 6 - Rev 2,DT-LOOPDIAG,A,As-Built,CFIHOS-00000010
DOC-000027,Risk Assessment Report - Power Generation 6 - Rev 1,DT-RISKREPORT,1,Superseded,CFIHOS-00000010
DOC-000028,Calibration Certificate - Power Generation 6 - Rev 2,DT-CALCERT,C,As-Built,CFIHOS-00000010
DOC-000029,Risk Assessment Report - Process Unit 7 - Rev 0,DT-RISKREPORT,2,Issued for Review,CFIHOS-00000010
DOC-000030,P&ID - Process Unit 7 - Rev C,DT-PID,1,Approved for Construction,CFIHOS-00000010
DOC-000031,Risk Assessment Report - Process Unit 7 - Rev 0,DT-RISKREPORT,A,Approved for Construction,CFIHOS-00000010
DOC-000032,Equipment Datasheet - Tank Farm 8 - Rev 2,DT-DATASHEET,A,Superseded,CFIHOS-00000010
DOC-000033,P&ID - Tank Farm 8 - Rev 0,DT-PID,1,As-Built,CFIHOS-00000010
DOC-000034,Risk Assessment Report - Tank Farm 8 - Rev 1,DT-RISKREPORT,B,Approved for Construction,CFIHOS-00000010
DOC-000035,Equipment Datasheet - Tank Farm 8 - Rev C,DT-DATASHEET,2,Approved for Construction,CFIHOS-00000010
DOC-000036,Instrument Loop Diagram - Utilities Area 9 - Rev A,DT-LOOPDIAG,B,Superseded,CFIHOS-00000010
DOC-000037,Instrument Loop Diagram - Utilities Area 9 - Rev C,DT-LOOPDIAG,C,Issued for Review,CFIHOS-00000010
DOC-000038,Network Architecture Diagram - Utilities Area 9 - Rev C,DT-NETARCH,2,Approved for Construction,CFIHOS-00000010
DOC-000039,Equipment Datasheet - Utilities Area 9 - Rev C,DT-DATASHEET,A,Superseded,CFIHOS-00000010
DOC-000040,Piping Isometric - Utilities Area 9 - Rev 2,DT-ISOMETRIC,2,As-Built,CFIHOS-00000010
DOC-000041,Instrument Loop Diagram - Tank Farm 10 - Rev C,DT-LOOPDIAG,C,Superseded,CFIHOS-00000010
DOC-000042,Equipment Datasheet - Tank Farm 10 - Rev C,DT-DATASHEET,1,Superseded,CFIHOS-00000010
DOC-000043,Instrument Loop Diagram - Tank Farm 10 - Rev 2,DT-LOOPDIAG,2,Approved for Construction,CFIHOS-00000010
DOC-000044,Calibration Certificate - Process Unit 11 - Rev A,DT-CALCERT,C,Issued for Review,CFIHOS-00000010
DOC-000045,Single Line Diagram - Process Unit 11 - Rev C,DT-SLD,0,As-Built,CFIHOS-00000010
DOC-000046,Instrument Loop Diagram - Process Unit 11 - Rev B,DT-LOOPDIAG,A,Issued for Review,CFIHOS-00000010
DOC-000047,P&ID - Process Unit 11 - Rev 2,DT-PID,C,As-Built,CFIHOS-00000010
DOC-000048,Network Architecture Diagram - Process Unit 11 - Rev B,DT-NETARCH,B,As-Built,CFIHOS-00000010
DOC-000049,Risk Assessment Report - Process Unit 12 - Rev A,DT-RISKREPORT,0,Issued for Review,CFIHOS-00000010
DOC-000050,Risk Assessment Report - Process Unit 12 - Rev 1,DT-RISKREPORT,C,Superseded,CFIHOS-00000010
DOC-000051,Single Line Diagram - Process Unit 12 - Rev C,DT-SLD,0,As-Built,CFIHOS-00000010
DOC-000052,Risk Assessment Report - Tank Farm 13 - Rev 0,DT-RISKREPORT,C,Superseded,CFIHOS-00000010
DOC-000053,Network Architecture Diagram - Tank Farm 13 - Rev B,DT-NETARCH,B,As-Built,CFIHOS-00000010
DOC-000054,P&ID - Tank Farm 13 - Rev 2,DT-PID,0,Issued for Review,CFIHOS-00000010
DOC-000055,Equipment Datasheet - Tank Farm 13 - Rev 2,DT-DATASHEET,1,Approved for Construction,CFIHOS-00000010
DOC-000056,Equipment Datasheet - Tank Farm 13 - Rev B,DT-DATASHEET,C,Superseded,CFIHOS-00000010
DOC-000057,Network Architecture Diagram - Tank Farm 14 - Rev A,DT-NETARCH,B,Superseded,CFIHOS-00000010
DOC-000058,P&ID - Tank Farm 14 - Rev 0,DT-PID,A,Superseded,CFIHOS-00000010
DOC-000059,Calibration Certificate - Tank Farm 14 - Rev B,DT-CALCERT,0,Approved for Construction,CFIHOS-00000010
DOC-000060,P&ID - Offsite Pipeline Corridor 15 - Rev C,DT-PID,A,Issued for Review,CFIHOS-00000010
DOC-000061,Instrument Loop Diagram - Offsite Pipeline Corridor 15 - Rev A,DT-LOOPDIAG,C,Superseded,CFIHOS-00000010
DOC-000062,Risk Assessment Report - Offsite Pipeline Corridor 15 - Rev 0,DT-RISKREPORT,1,Approved for Construction,CFIHOS-00000010
DOC-000063,Piping Isometric - Process Unit 16 - Rev B,DT-ISOMETRIC,B,Superseded,CFIHOS-00000010
DOC-000064,Piping Isometric - Process Unit 16 - Rev B,DT-ISOMETRIC,C,Approved for Construction,CFIHOS-00000010
DOC-000065,Single Line Diagram - Process Unit 16 - Rev 0,DT-SLD,2,Superseded,CFIHOS-00000010
DOC-000066,Risk Assessment Report - Power Generation 17 - Rev 1,DT-RISKREPORT,1,Approved for Construction,CFIHOS-00000010
DOC-000067,Single Line Diagram - Power Generation 17 - Rev 2,DT-SLD,B,Issued for Review,CFIHOS-00000010
DOC-000068,P&ID - Power Generation 17 - Rev 1,DT-PID,C,As-Built,CFIHOS-00000010
DOC-000069,Instrument Loop Diagram - Power Generation 18 - Rev 2,DT-LOOPDIAG,2,Approved for Construction,CFIHOS-00000010
DOC-000070,Calibration Certificate - Power Generation 18 - Rev A,DT-CALCERT,1,Approved for Construction,CFIHOS-00000010
DOC-000071,Risk Assessment Report - Power Generation 18 - Rev A,DT-RISKREPORT,2,Superseded,CFIHOS-00000010
DOC-000072,Piping Isometric - Power Generation 18 - Rev 2,DT-ISOMETRIC,A,Issued for Review,CFIHOS-00000010
DOC-000073,Single Line Diagram - Power Generation 19 - Rev 2,DT-SLD,2,Approved for Construction,CFIHOS-00000010
DOC-000074,Calibration Certificate - Power Generation 19 - Rev B,DT-CALCERT,A,Issued for Review,CFIHOS-00000010
DOC-000075,Calibration Certificate - Power Generation 19 - Rev 2,DT-CALCERT,B,Superseded,CFIHOS-00000010
DOC-000076,Instrument Loop Diagram - Power Generation 19 - Rev B,DT-LOOPDIAG,A,Superseded,CFIHOS-00000010
DOC-000077,Single Line Diagram - Process Unit 20 - Rev A,DT-SLD,B,Approved for Construction,CFIHOS-00000010
DOC-000078,Piping Isometric - Process Unit 20 - Rev 1,DT-ISOMETRIC,0,Superseded,CFIHOS-00000010
DOC-000079,P&ID - Process Unit 20 - Rev 2,DT-PID,B,Issued for Review,CFIHOS-00000010
DOC-000080,P&ID - Process Unit 20 - Rev 2,DT-PID,C,Issued for Review,CFIHOS-00000010
