classId,className,cfihosId
EC-PUMP,Pump,CFIHOS-00000037
EC-VALVE,Valve,CFIHOS-00000037
EC-VESSEL,Pressure Vessel,CFIHOS-00000037
EC-HEATEXCH,Heat Exchanger,CFIHOS-00000037
EC-INSTRUMENT,Instrument,CFIHOS-00000037
EC-MOTOR,Electric Motor,CFIHOS-00000037
EC-COMPRESSOR,Compressor,CFIHOS-00000037
EC-PIPING,Piping,CFIHOS-00000037
EC-PUMP-CENTR,Centrifugal Pump,CFIHOS-00000037
EC-PUMP-RECIP,Reciprocating Pump,CFIHOS-00000037
EC-VALVE-CTRL,Control Valve,CFIHOS-00000037
EC-VALVE-ISO,Isolation Valve,CFIHOS-00000037
EC-VALVE-RELIEF,Pressure Relief Valve,CFIHOS-00000037
EC-VESSEL-COL,Distillation Column,CFIHOS-00000037
EC-VESSEL-SEP,Separator,CFIHOS-00000037
EC-HEATEXCH-SHELL,Shell & Tube Exchanger,CFIHOS-00000037
EC-INST-PT,Pressure Transmitter,CFIHOS-00000037
EC-INST-TT,Temperature Transmitter,CFIHOS-00000037
EC-INST-FT,Flow Transmitter,CFIHOS-00000037
EC-INST-LT,Level Transmitter,CFIHOS-00000037
EC-COMPRESSOR-CENTR,Centrifugal Compressor,CFIHOS-00000037
