functionalLocationId,name,hierarchyLevel,cfihosId
FL-000001,Area 1,1,CFIHOS-00000074
FL-000002,Area 2,1,CFIHOS-00000074
FL-000003,Area 3,1,CFIHOS-00000074
FL-000004,Area 4,1,CFIHOS-00000074
FL-000005,Area 5,1,CFIHOS-00000074
FL-000006,Sub-Area 6,2,CFIHOS-00000074
FL-000007,Sub-Area 7,2,CFIHOS-00000074
FL-000008,Sub-Area 8,2,CFIHOS-00000074
FL-000009,Sub-Area 9,2,CFIHOS-00000074
FL-000010,Sub-Area 10,2,CFIHOS-00000074
FL-000011,Sub-Area 11,2,CFIHOS-00000074
FL-000012,Sub-Area 12,2,CFIHOS-00000074
FL-000013,Sub-Area 13,2,CFIHOS-00000074
FL-000014,Sub-Area 14,2,CFIHOS-00000074
FL-000015,Sub-Area 15,2,CFIHOS-00000074
FL-000016,Sub-Area 16,2,CFIHOS-00000074
FL-000017,Sub-Area 17,2,CFIHOS-00000074
FL-000018,Sub-Area 18,2,CFIHOS-00000074
FL-000019,Sub-Area 19,2,CFIHOS-00000074
FL-000020,Sub-Area 20,2,CFIHOS-00000074
FL-000021,Area 21,1,CFIHOS-00000074
FL-000022,Area 22,1,CFIHOS-00000074
FL-000023,Area 23,1,CFIHOS-00000074
FL-000024,Area 24,1,CFIHOS-00000074
FL-000025,Sub-Area 25,2,CFIHOS-00000074
FL-000026,Sub-Area 26,2,CFIHOS-00000074
FL-000027,Sub-Area 27,2,CFIHOS-00000074
FL-000028,Sub-Area 28,2,CFIHOS-00000074
FL-000029,Sub-Area 29,2,CFIHOS-00000074
FL-000030,Sub-Area 30,2,CFIHOS-00000074
FL-000031,Sub-Area 31,2,CFIHOS-00000074
FL-000032,Sub-Area 32,2,CFIHOS-00000074
FL-000033,Sub-Area 33,2,CFIHOS-00000074
FL-000034,Sub-Area 34,2,CFIHOS-00000074
FL-000035,Sub-Area 35,2,CFIHOS-00000074
FL-000036,Sub-Area 36,2,CFIHOS-00000074
FL-000037,Sub-Area 37,2,CFIHOS-00000074
FL-000038,Area 38,1,CFIHOS-00000074
FL-000039,Area 39,1,CFIHOS-00000074
FL-000040,Area 40,1,CFIHOS-00000074
FL-000041,Area 41,1,CFIHOS-00000074
FL-000042,Area 42,1,CFIHOS-00000074
FL-000043,Sub-Area 43,2,CFIHOS-00000074
FL-000044,Sub-Area 44,2,CFIHOS-00000074
FL-000045,Sub-Area 45,2,CFIHOS-00000074
FL-000046,Sub-Area 46,2,CFIHOS-00000074
FL-000047,Sub-Area 47,2,CFIHOS-00000074
FL-000048,Sub-Area 48,2,CFIHOS-00000074
FL-000049,Sub-Area 49,2,CFIHOS-00000074
FL-000050,Sub-Area 50,2,CFIHOS-00000074
FL-000051,Sub-Area 51,2,CFIHOS-00000074
FL-000052,Sub-Area 52,2,CFIHOS-00000074
FL-000053,Sub-Area 53,2,CFIHOS-00000074
FL-000054,Sub-Area 54,2,CFIHOS-00000074
FL-000055,Sub-Area 55,2,CFIHOS-00000074
FL-000056,Sub-Area 56,2,CFIHOS-00000074
FL-000057,Sub-Area 57,2,CFIHOS-00000074
FL-000058,Sub-Area 58,2,CFIHOS-00000074
FL-000059,Area 59,1,CFIHOS-00000074
FL-000060,Area 60,1,CFIHOS-00000074
FL-000061,Area 61,1,CFIHOS-00000074
FL-000062,Area 62,1,CFIHOS-00000074
FL-000063,Sub-Area 63,2,CFIHOS-00000074
FL-000064,Sub-Area 64,2,CFIHOS-00000074
FL-000065,Sub-Area 65,2,CFIHOS-00000074
FL-000066,Sub-Area 66,2,CFIHOS-00000074
FL-000067,Sub-Area 67,2,CFIHOS-00000074
FL-000068,Sub-Area 68,2,CFIHOS-00000074
FL-000069,Sub-Area 69,2,CFIHOS-00000074
FL-000070,Sub-Area 70,2,CFIHOS-00000074
FL-000071,Sub-Area 71,2,CFIHOS-00000074
FL-000072,Sub-Area 72,2,CFIHOS-00000074
FL-000073,Sub-Area 73,2,CFIHOS-00000074
FL-000074,Area 74,1,CFIHOS-00000074
FL-000075,Area 75,1,CFIHOS-00000074
FL-000076,Area 76,1,CFIHOS-00000074
FL-000077,Area 77,1,CFIHOS-00000074
FL-000078,Area 78,1,CFIHOS-00000074
FL-000079,Sub-Area 79,2,CFIHOS-00000074
FL-000080,Sub-Area 80,2,CFIHOS-00000074
FL-000081,Sub-Area 81,2,CFIHOS-00000074
FL-000082,Sub-Area 82,2,CFIHOS-00000074
FL-000083,Sub-Area 83,2,CFIHOS-00000074
FL-000084,Sub-Area 84,2,CFIHOS-00000074
FL-000085,Sub-Area 85,2,CFIHOS-00000074
FL-000086,Sub-Area 86,2,CFIHOS-00000074
FL-000087,Sub-Area 87,2,CFIHOS-00000074
FL-000088,Sub-Area 88,2,CFIHOS-00000074
FL-000089,Sub-Area 89,2,CFIHOS-00000074
FL-000090,Sub-Area 90,2,CFIHOS-00000074
FL-000091,Sub-Area 91,2,CFIHOS-00000074
FL-000092,Sub-Area 92,2,CFIHOS-00000074
FL-000093,Sub-Area 93,2,CFIHOS-00000074
FL-000094,Sub-Area 94,2,CFIHOS-00000074
FL-000095,Sub-Area 95,2,CFIHOS-00000074
FL-000096,Area 96,1,CFIHOS-00000074
FL-000097,Area 97,1,CFIHOS-00000074
FL-000098,Area 98,1,CFIHOS-00000074
FL-000099,Area 99,1,CFIHOS-00000074
FL-000100,Area 100,1,CFIHOS-00000074
FL-000101,Sub-Area 101,2,CFIHOS-00000074
