itemId,name,failureModeClass,cfihosId
MI-000001,LT-36709 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000002,P-13683 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000003,P-18916 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000004,K-35850 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000005,TT-38738 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000006,P-7050 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000007,K-5736 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000008,COL-31035 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000009,PSV-14141 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000010,TT-23724 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000011,XV-9919 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000012,PSV-35838 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000013,K-37019 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000014,LT-39088 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000015,V-38580 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000016,XV-7189 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000017,XV-925 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000018,TT-12573 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000019,E-38977 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000020,TT-11175 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000021,FT-18098 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000022,XV-40032 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000023,COL-26365 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000024,V-16366 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000025,XV-15875 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000026,COL-39286 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000027,COL-24436 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000028,P-39916 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000029,COL-32557 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000030,PSV-13258 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000031,TT-17105 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000032,P-29757 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000033,V-17923 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000034,P-15932 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000035,FCV-19067 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000036,K-25703 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000037,LT-24294 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000038,PT-39358 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000039,P-39459 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000040,E-21514 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000041,COL-8839 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000042,K-37978 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000043,COL-367 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000044,P-1710 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000045,E-40028 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000046,PT-26499 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000047,XV-29837 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000048,P-28954 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000049,TT-38905 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000050,PT-16268 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000051,LT-27544 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000052,V-39681 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000053,PSV-11999 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000054,E-6865 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000055,COL-1600 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000056,P-36927 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000057,COL-32575 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000058,P-9165 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000059,PT-32353 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000060,K-12885 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000061,FT-6160 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000062,COL-25997 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000063,TT-13870 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000064,PSV-31850 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000065,P-24651 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000066,XV-35024 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000067,P-38013 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000068,PSV-380 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000069,K-32361 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000070,K-19362 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-000071,P-28813 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-000072,K-2182 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000073,V-11516 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000074,FCV-1324 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-000075,PSV-25681 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-000076,P-34220 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-000077,PSV-8431 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-000078,P-37140 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
