modelId,manufacturerName,modelNumber,cfihosId
MM-001,Halberd Valve Corporation,HV-2200-CTRL,CFIHOS-00000094
MM-002,Halberd Valve Corporation,HV-1100-ISO,CFIHOS-00000094
MM-003,Reedmoor Pumps & Compressors,RP-C500,CFIHOS-00000094
MM-004,Reedmoor Pumps & Compressors,RP-R150,CFIHOS-00000094
MM-005,Ironclad Controls Inc.,IC-PT3000,CFIHOS-00000094
MM-006,Ironclad Controls Inc.,IC-TT1500,CFIHOS-00000094
MM-007,Ironclad Controls Inc.,IC-FT900,CFIHOS-00000094
MM-008,Reedmoor Pumps & Compressors,RP-CC8000,CFIHOS-00000094
MM-009,Halberd Valve Corporation,HV-3300-RELIEF,CFIHOS-00000094
MM-010,Ironclad Controls Inc.,IC-LT700,CFIHOS-00000094
