segmentId,vlanId,subnet,purdueLevel
NET-00001,117,10.66.127.0/24,4
NET-00002,261,10.216.238.0/24,3
NET-00003,929,10.205.122.0/24,3
NET-00004,265,10.241.82.0/24,3
NET-00005,284,10.180.82.0/24,3
NET-00006,170,10.15.234.0/24,1
NET-00007,787,10.120.28.0/24,0
NET-00008,551,10.144.207.0/24,4
NET-00009,858,10.63.130.0/24,4
NET-00010,790,10.224.114.0/24,3
NET-00011,449,10.39.224.0/24,3
NET-00012,836,10.55.242.0/24,3
NET-00013,374,10.199.79.0/24,1
NET-00014,221,10.217.78.0/24,0
NET-00015,719,10.108.101.0/24,0
NET-00016,992,10.170.203.0/24,4
NET-00017,463,10.8.153.0/24,4
NET-00018,519,10.245.17.0/24,3
NET-00019,654,10.187.12.0/24,3
NET-00020,600,10.80.15.0/24,3
NET-00021,558,10.208.79.0/24,3
NET-00022,601,10.71.142.0/24,1
NET-00023,349,10.10.138.0/24,0
NET-00024,470,10.17.8.0/24,4
NET-00025,553,10.177.22.0/24,4
NET-00026,631,10.90.163.0/24,3
NET-00027,256,10.66.33.0/24,3
NET-00028,689,10.37.83.0/24,3
NET-00029,561,10.247.215.0/24,3
NET-00030,784,10.87.178.0/24,1
NET-00031,775,10.23.1.0/24,1
NET-00032,326,10.34.41.0/24,0
NET-00033,151,10.20.218.0/24,4
NET-00034,760,10.12.192.0/24,4
NET-00035,754,10.30.193.0/24,3
NET-00036,367,10.177.94.0/24,3
NET-00037,624,10.55.158.0/24,3
NET-00038,317,10.204.39.0/24,1
NET-00039,490,10.95.89.0/24,1
NET-00040,373,10.63.212.0/24,0
NET-00041,258,10.122.120.0/24,0
NET-00042,957,10.236.197.0/24,4
NET-00043,666,10.94.118.0/24,4
NET-00044,920,10.58.204.0/24,3
NET-00045,611,10.16.89.0/24,3
NET-00046,204,10.43.140.0/24,3
NET-00047,588,10.87.66.0/24,3
NET-00048,127,10.56.15.0/24,1
NET-00049,408,10.158.47.0/24,0
NET-00050,666,10.89.84.0/24,0
NET-00051,270,10.8.97.0/24,4
NET-00052,459,10.191.10.0/24,3
NET-00053,242,10.128.19.0/24,3
NET-00054,810,10.246.174.0/24,3
NET-00055,568,10.113.48.0/24,3
NET-00056,340,10.57.101.0/24,1
NET-00057,585,10.213.52.0/24,1
NET-00058,540,10.143.158.0/24,0
NET-00059,571,10.118.163.0/24,4
NET-00060,244,10.133.254.0/24,4
NET-00061,918,10.132.101.0/24,3
NET-00062,224,10.90.190.0/24,3
NET-00063,593,10.128.250.0/24,3
NET-00064,164,10.52.61.0/24,1
NET-00065,453,10.15.4.0/24,1
NET-00066,737,10.154.179.0/24,0
NET-00067,596,10.199.53.0/24,0
NET-00068,623,10.142.154.0/24,4
NET-00069,337,10.114.80.0/24,4
NET-00070,961,10.135.45.0/24,3
NET-00071,857,10.58.248.0/24,3
NET-00072,704,10.37.164.0/24,3
NET-00073,361,10.135.231.0/24,1
NET-00074,252,10.94.60.0/24,0
NET-00075,851,10.83.193.0/24,0
NET-00076,950,10.208.215.0/24,4
NET-00077,456,10.4.153.0/24,4
NET-00078,661,10.247.8.0/24,3
NET-00079,984,10.104.131.0/24,3
NET-00080,831,10.149.105.0/24,3
NET-00081,576,10.204.82.0/24,1
NET-00082,601,10.155.135.0/24,1
NET-00083,279,10.154.37.0/24,0
NET-00084,688,10.5.42.0/24,0
NET-00085,968,10.199.196.0/24,4
NET-00086,727,10.215.99.0/24,3
NET-00087,234,10.245.123.0/24,3
NET-00088,666,10.225.197.0/24,3
NET-00089,355,10.31.13.0/24,3
NET-00090,122,10.49.161.0/24,1
NET-00091,399,10.167.57.0/24,1
NET-00092,275,10.118.52.0/24,0
NET-00093,878,10.15.99.0/24,4
NET-00094,973,10.217.197.0/24,3
NET-00095,303,10.192.69.0/24,3
NET-00096,782,10.199.198.0/24,3
NET-00097,532,10.184.76.0/24,1
NET-00098,935,10.16.201.0/24,0
