otAssetId,tagNumber,deviceType,firmwareVersion,ipAddress,macAddress,vendor,purdueLevel,isInternetFacing
OTA-000001,TT-1,Sensor,1.6.8,192.168.8.140,FB:FD:88:83:C2:25,Sentinel Automation Services,1,false
OTA-000002,FCV-9,Positioner/RTU,1.9.1,192.168.37.68,5F:0D:86:0F:73:29,Sentinel Automation Services,1,false
OTA-000003,TT-10,Sensor,4.6.8,192.168.28.161,59:C7:9C:5A:6A:92,Sentinel Automation Services,0,false
OTA-000004,TT-11,Sensor,2.2.5,192.168.28.174,26:EE:4A:C2:45:6F,Halberd Valve Corporation,1,false
OTA-000005,FCV-20,Positioner/RTU,1.0.6,192.168.15.194,B3:EA:55:84:B5:F4,Halberd Valve Corporation,0,false
OTA-000006,FCV-21,Positioner/RTU,4.3.9,192.168.33.98,A1:57:D7:12:41:BF,Halberd Valve Corporation,0,false
OTA-000007,LT-26,Sensor,5.7.6,192.168.29.142,F9:CC:13:4E:4B:19,Halberd Valve Corporation,0,false
OTA-000008,FCV-28,Positioner/RTU,3.7.1,192.168.5.48,D4:F2:35:D6:7A:C6,Ironclad Controls Inc.,0,false
OTA-000009,TT-31,Sensor,3.2.0,192.168.31.73,2E:38:CB:5C:F4:2B,Ironclad Controls Inc.,1,false
OTA-000010,TT-32,Sensor,4.2.5,192.168.39.7,09:75:77:B8:AD:98,Halberd Valve Corporation,0,false
OTA-000011,FT-34,Sensor,5.1.8,192.168.33.200,A2:43:0F:13:B3:B4,Halberd Valve Corporation,0,false
OTA-000012,TT-42,Sensor,5.3.7,192.168.31.241,54:7E:5B:E9:1F:89,Sentinel Automation Services,1,false
OTA-000013,PT-46,Sensor,1.5.7,192.168.7.65,02:0A:06:15:24:E3,Sentinel Automation Services,1,false
OTA-000014,FT-48,Sensor,2.0.2,192.168.14.235,C4:16:CE:25:9E:8A,Halberd Valve Corporation,0,false
OTA-000015,PT-50,Sensor,5.8.7,192.168.40.71,CA:5B:EC:22:47:46,Ironclad Controls Inc.,0,false
OTA-000016,TT-52,Sensor,1.6.9,192.168.37.187,EE:0E:9E:17:13:C0,Sentinel Automation Services,1,false
OTA-000017,PT-53,Sensor,3.7.5,192.168.12.212,B1:9B:2F:07:FD:53,Halberd Valve Corporation,1,false
OTA-000018,TT-54,Sensor,2.3.6,192.168.7.73,90:EE:16:1B:E0:C4,Sentinel Automation Services,1,false
OTA-000019,FCV-55,Positioner/RTU,2.5.1,192.168.31.239,58:82:B3:7E:6E:C9,Sentinel Automation Services,0,false
OTA-000020,LT-59,Sensor,4.8.7,192.168.22.87,68:9A:14:D4:1A:DB,Ironclad Controls Inc.,0,false
OTA-000021,PT-61,Sensor,2.5.6,192.168.35.9,66:86:3A:E7:09:24,Halberd Valve Corporation,0,false
OTA-000022,PT-65,Sensor,5.8.3,192.168.16.31,77:B1:6D:3A:95:5D,Ironclad Controls Inc.,1,false
OTA-000023,FT-69,Sensor,2.7.0,192.168.9.218,60:F8:51:B0:78:40,Ironclad Controls Inc.,1,false
OTA-000024,PT-70,Sensor,3.6.9,192.168.25.62,37:7C:FB:E0:D8:2A,Halberd Valve Corporation,1,false
OTA-000025,TT-71,Sensor,1.3.7,192.168.1.164,57:3D:49:F6:2F:DC,Sentinel Automation Services,1,false
OTA-000026,LT-72,Sensor,3.3.7,192.168.2.14,E7:CD:A3:CD:CE:DA,Halberd Valve Corporation,0,false
OTA-000027,TT-74,Sensor,4.8.8,192.168.13.4,2C:A2:78:65:FB:0A,Sentinel Automation Services,0,false
OTA-000028,FT-75,Sensor,5.9.7,192.168.33.186,83:CF:73:8A:4E:CB,Sentinel Automation Services,0,false
OTA-000029,FT-77,Sensor,1.4.2,192.168.10.101,E3:51:D6:33:5A:FD,Ironclad Controls Inc.,0,false
OTA-000030,FT-79,Sensor,4.5.3,192.168.3.15,A1:7A:8E:36:4F:06,Ironclad Controls Inc.,1,false
OTA-000031,TT-81,Sensor,5.4.1,192.168.28.74,F3:7D:63:7F:6B:AE,Halberd Valve Corporation,1,false
OTA-000032,FT-82,Sensor,1.1.4,192.168.11.171,62:CB:1D:C4:A2:BD,Ironclad Controls Inc.,0,false
OTA-000033,FT-83,Sensor,2.1.8,192.168.5.192,49:16:57:6E:BF:DC,Ironclad Controls Inc.,1,false
OTA-000034,LT-84,Sensor,2.0.1,192.168.22.135,DE:4D:F5:2D:9A:D4,Halberd Valve Corporation,0,false
OTA-000035,FT-85,Sensor,2.9.0,192.168.23.117,41:69:07:0E:FB:AF,Sentinel Automation Services,1,false
OTA-000036,PT-89,Sensor,3.5.5,192.168.28.63,44:8E:E7:FE:1A:96,Sentinel Automation Services,0,false
OTA-000037,FCV-94,Positioner/RTU,2.6.0,192.168.39.13,4B:47:DC:C0:40:B8,Ironclad Controls Inc.,1,false
OTA-000038,FT-97,Sensor,3.3.5,192.168.20.119,70:95:B8:E3:60:97,Halberd Valve Corporation,0,false
OTA-000039,TT-100,Sensor,4.6.2,192.168.10.218,19:7C:14:8E:31:15,Sentinel Automation Services,0,false
OTA-000040,FCV-103,Positioner/RTU,5.2.0,192.168.35.205,FB:C1:89:C9:A8:94,Halberd Valve Corporation,1,false
OTA-000041,PT-104,Sensor,4.7.1,192.168.13.182,54:9C:66:67:07:19,Halberd Valve Corporation,1,false
OTA-000042,FT-105,Sensor,2.7.9,192.168.15.148,DD:D1:9C:02:01:37,Halberd Valve Corporation,0,false
OTA-000043,FT-108,Sensor,3.8.3,192.168.10.232,7E:A6:3A:68:78:65,Ironclad Controls Inc.,0,false
OTA-000044,LT-113,Sensor,5.8.4,192.168.21.131,97:92:B9:A4:DC:6C,Halberd Valve Corporation,0,false
OTA-000045,FT-114,Sensor,2.9.6,192.168.33.121,A0:66:CC:CB:39:94,Halberd Valve Corporation,1,false
OTA-000046,FCV-115,Positioner/RTU,3.3.5,192.168.37.212,D8:86:7C:E5:6C:4D,Sentinel Automation Services,1,false
OTA-000047,TT-120,Sensor,3.0.6,192.168.11.80,2E:6D:93:98:51:8C,Halberd Valve Corporation,0,false
OTA-000048,LT-122,Sensor,4.8.1,192.168.35.59,88:8C:87:75:8E:87,Halberd Valve Corporation,0,false
OTA-000049,LT-123,Sensor,5.2.2,192.168.16.48,5C:88:5B:0F:1E:8A,Ironclad Controls Inc.,0,false
OTA-000050,TT-125,Sensor,5.5.9,192.168.38.222,85:9B:6F:BF:02:41,Halberd Valve Corporation,1,false
OTA-000051,FCV-129,Positioner/RTU,5.6.3,192.168.11.26,9E:B6:6A:CB:72:AC,Ironclad Controls Inc.,1,false
OTA-000052,LT-134,Sensor,3.2.5,192.168.16.185,E5:C4:A8:38:CF:F6,Halberd Valve Corporation,0,false
OTA-000053,PT-135,Sensor,4.5.8,192.168.20.86,47:1D:2C:95:FF:41,Sentinel Automation Services,1,false
OTA-000054,PT-136,Sensor,2.0.5,192.168.12.176,50:94:02:0E:36:47,Sentinel Automation Services,0,false
OTA-000055,LT-138,Sensor,5.4.6,192.168.7.60,B3:14:F8:C0:5E:F5,Sentinel Automation Services,1,false
OTA-000056,LT-141,Sensor,5.3.6,192.168.24.229,E5:CE:64:E2:74:6C,Halberd Valve Corporation,1,false
OTA-000057,LT-143,Sensor,2.9.2,192.168.21.236,39:89:FD:61:F0:15,Ironclad Controls Inc.,1,false
OTA-000058,TT-146,Sensor,3.6.7,192.168.24.178,4E:19:EF:02:CF:FB,Halberd Valve Corporation,1,false
OTA-000059,LT-147,Sensor,3.4.7,192.168.1.243,95:89:B9:8E:FD:36,Sentinel Automation Services,0,false
OTA-000060,PT-148,Sensor,3.6.5,192.168.35.46,3B:70:04:73:A2:0B,Ironclad Controls Inc.,0,false
OTA-000061,FCV-150,Positioner/RTU,2.1.5,192.168.11.236,68:40:AB:E6:F8:B9,Halberd Valve Corporation,1,false
OTA-000062,LT-151,Sensor,1.7.1,192.168.1.239,81:44:8E:2C:55:78,Ironclad Controls Inc.,1,false
OTA-000063,FT-152,Sensor,2.8.4,192.168.14.243,58:29:E2:84:B4:49,Sentinel Automation Services,1,false
OTA-000064,LT-153,Sensor,5.6.9,192.168.39.80,4F:95:DD:62:AA:09,Sentinel Automation Services,0,false
OTA-000065,FT-154,Sensor,5.0.1,192.168.4.138,5F:B3:99:67:A1:D8,Sentinel Automation Services,0,false
OTA-000066,FCV-157,Positioner/RTU,3.9.6,192.168.18.67,CC:BA:BE:5C:51:73,Halberd Valve Corporation,0,false
OTA-000067,LT-159,Sensor,4.2.0,192.168.21.168,45:F8:D4:65:C3:05,Ironclad Controls Inc.,1,false
OTA-000068,LT-160,Sensor,1.6.6,192.168.11.117,81:55:B8:FC:75:C4,Halberd Valve Corporation,0,false
OTA-000069,PT-161,Sensor,4.6.8,192.168.34.83,DF:56:92:58:9F:A2,Halberd Valve Corporation,0,false
OTA-000070,FCV-164,Positioner/RTU,5.4.8,192.168.2.183,2A:F8:E4:FF:60:18,Halberd Valve Corporation,0,false
OTA-000071,TT-166,Sensor,1.1.1,192.168.8.15,EB:32:D8:89:07:C0,Sentinel Automation Services,0,false
OTA-000072,FCV-169,Positioner/RTU,4.1.4,192.168.17.39,EA:B9:63:6A:84:71,Halberd Valve Corporation,1,false
OTA-000073,FT-173,Sensor,4.8.4,192.168.25.229,9A:82:27:85:0B:BA,Halberd Valve Corporation,0,false
OTA-000074,FT-179,Sensor,3.3.5,192.168.18.134,4A:EB:AF:BA:7F:46,Sentinel Automation Services,1,false
OTA-000075,PT-181,Sensor,5.8.9,192.168.35.34,AC:06:F6:66:85:4D,Ironclad Controls Inc.,1,false
OTA-000076,PT-190,Sensor,3.4.0,192.168.6.21,53:D4:29:95:69:A5,Sentinel Automation Services,0,false
OTA-000077,TT-197,Sensor,3.9.8,192.168.13.60,AC:B7:07:E1:E1:70,Ironclad Controls Inc.,0,false
OTA-000078,LT-199,Sensor,2.5.8,192.168.14.46,A6:A2:1A:D2:4E:A0,Halberd Valve Corporation,1,false
