plantId,name,country,cfihosId
PLANT-001,Maridale Refinery,Netherlands,CFIHOS-00000125
PLANT-002,Korringen Gas Processing Complex,Norway,CFIHOS-00000125
PLANT-003,Westbrook Petrochemical Site,United Kingdom,CFIHOS-00000125
PLANT-004,Solheim Terminal,Norway,CFIHOS-00000125
PLANT-005,Falkenridge Refinery,Germany,CFIHOS-00000125
PLANT-006,Ardmoor Gas Plant,Ireland,CFIHOS-00000125
PLANT-007,Brackenfield Petrochemical Complex,United Kingdom,CFIHOS-00000125
PLANT-008,Nordwyk Processing Terminal,Netherlands,CFIHOS-00000125
PLANT-009,Stavenhall Refinery,Denmark,CFIHOS-00000125
PLANT-010,Kelburne Gas Processing Site,Scotland,CFIHOS-00000125
PLANT-011,Marrowick Petrochemical Plant,Belgium,CFIHOS-00000125
PLANT-012,Thornfield Terminal,Netherlands,CFIHOS-00000125
