assessmentId,assessmentDate,likelihood,impact,riskScore,residualRisk
RA-000001,2025-12-27,Low,Medium,18.1,Medium
RA-000002,2025-01-02,High,High,8.9,High
RA-000003,2024-10-06,High,Low,22.9,Low
RA-000004,2025-06-06,Medium,Low,14.0,High
RA-000005,2026-10-03,Medium,High,12.6,High
RA-000006,2025-07-24,Low,High,12.9,Low
RA-000007,2026-12-31,High,High,19.4,Medium
RA-000008,2023-01-01,Low,Severe,7.8,Medium
RA-000009,2024-10-20,High,Medium,12.5,Medium
RA-000010,2023-02-20,Low,Medium,5.4,Medium
RA-000011,2023-08-06,High,Severe,23.8,Medium
RA-000012,2026-02-11,High,Severe,19.1,Low
RA-000013,2026-12-12,Medium,Severe,15.0,High
RA-000014,2024-06-10,Low,Low,13.9,Low
RA-000015,2024-05-06,High,Medium,13.1,Medium
RA-000016,2024-08-05,High,Severe,8.7,High
RA-000017,2024-07-21,Low,Low,3.1,Medium
RA-000018,2025-06-19,High,Low,14.2,High
RA-000019,2023-06-12,Low,Severe,16.4,Medium
RA-000020,2023-10-28,High,High,20.3,Low
RA-000021,2024-01-30,Medium,Low,23.0,Medium
RA-000022,2024-08-25,High,Severe,10.7,Low
RA-000023,2024-04-01,Medium,High,14.1,High
RA-000024,2026-03-04,Low,Low,14.4,Medium
RA-000025,2024-03-31,High,Severe,6.7,Low
RA-000026,2025-06-20,Low,Medium,12.2,Low
RA-000027,2026-12-03,High,Medium,9.8,Medium
RA-000028,2024-02-24,Low,Severe,17.7,Low
RA-000029,2023-02-28,High,High,3.4,High
RA-000030,2023-02-02,Low,Medium,24.0,High
RA-000031,2026-03-13,Medium,Low,13.9,Medium
RA-000032,2025-07-28,Low,Low,1.2,Medium
RA-000033,2024-02-07,High,High,10.5,High
RA-000034,2026-07-15,Low,High,6.7,High
RA-000035,2023-04-13,Medium,High,4.9,High
RA-000036,2025-04-28,Low,Low,18.7,Low
RA-000037,2024-05-27,High,Medium,9.0,High
RA-000038,2025-04-22,Medium,High,10.5,Low
RA-000039,2025-09-19,Low,Low,22.5,Medium
RA-000040,2026-05-03,Medium,High,2.1,High
RA-000041,2025-12-26,High,Medium,10.4,High
RA-000042,2024-06-20,Medium,Low,18.9,Medium
RA-000043,2024-12-16,Medium,Medium,16.2,Medium
RA-000044,2023-11-19,Medium,Low,14.5,Medium
RA-000045,2024-09-19,Low,Medium,1.7,Medium
RA-000046,2026-11-07,Low,High,11.6,Low
RA-000047,2025-01-12,Medium,Medium,8.4,High
RA-000048,2025-12-15,Low,Medium,20.8,Low
RA-000049,2024-11-05,High,Low,6.7,High
RA-000050,2025-09-28,Low,Medium,5.9,Low
RA-000051,2024-01-27,Medium,Medium,1.2,High
RA-000052,2025-12-29,Medium,Low,13.0,Low
RA-000053,2026-08-08,Medium,High,11.5,Medium
RA-000054,2024-09-12,Low,Low,14.1,High
RA-000055,2026-01-29,High,Severe,15.4,Low
RA-000056,2025-07-02,Medium,Medium,6.5,High
RA-000057,2026-03-24,Medium,Medium,10.5,High
RA-000058,2025-06-08,High,Low,23.9,Low
RA-000059,2023-11-19,Low,High,18.1,Low
RA-000060,2026-10-15,Medium,Low,23.8,High
RA-000061,2026-08-19,Medium,Medium,6.6,High
RA-000062,2026-06-29,Medium,High,19.5,High
RA-000063,2026-08-15,Low,High,19.9,High
RA-000064,2024-03-13,Medium,Medium,23.2,Low
RA-000065,2026-09-27,Low,Severe,3.0,Medium
RA-000066,2026-06-27,Low,Low,13.8,Low
RA-000067,2024-06-10,High,Medium,15.0,High
RA-000068,2024-07-25,Medium,Medium,6.7,High
RA-000069,2025-08-06,Low,Low,23.0,High
RA-000070,2026-11-13,High,High,1.6,High
RA-000071,2026-03-09,Low,Low,23.2,Medium
RA-000072,2026-09-03,High,Medium,4.8,Medium
RA-000073,2026-06-25,High,High,18.2,Medium
RA-000074,2023-11-20,Medium,High,15.9,Low
RA-000075,2023-07-08,Low,Low,21.3,Medium
RA-000076,2023-11-11,Medium,Severe,3.5,Low
RA-000077,2024-06-07,Low,Medium,2.5,Low
RA-000078,2026-10-04,Medium,Medium,22.9,Low
RA-000079,2026-02-07,Medium,Medium,11.2,High
RA-000080,2023-12-12,Low,Severe,3.0,High
RA-000081,2024-06-17,Medium,Medium,22.8,High
RA-000082,2026-02-06,High,Low,13.7,High
RA-000083,2025-07-24,High,Severe,22.4,Low
RA-000084,2025-06-18,High,Medium,17.3,Low
RA-000085,2025-12-19,Medium,Severe,20.2,High
RA-000086,2025-12-14,High,High,9.9,Medium
RA-000087,2023-12-28,Medium,Low,15.6,Medium
RA-000088,2026-09-12,Medium,High,2.0,Low
RA-000089,2025-03-21,High,Low,23.0,Low
RA-000090,2025-12-30,High,Low,18.9,Low
RA-000091,2026-11-20,Low,Medium,21.2,Medium
RA-000092,2026-06-08,High,Medium,5.1,Medium
RA-000093,2026-03-28,High,Medium,1.8,Low
RA-000094,2026-06-01,Low,High,16.4,High
