partNumber,partDescription,recommendedQuantity,criticality,cfihosId
SP-000001,Spare for PT-36660: Gasket Set,3,Low,CFIHOS-00000200
SP-000002,Spare for PT-36660: Seal Kit,4,Low,CFIHOS-00000200
SP-000003,Spare for K-31133: Diaphragm,2,High,CFIHOS-00000200
SP-000004,Spare for K-31133: Gasket Set,3,Medium,CFIHOS-00000200
SP-000005,Spare for E-6366: Diaphragm,4,High,CFIHOS-00000200
SP-000006,Spare for E-6366: Seal Kit,2,Medium,CFIHOS-00000200
SP-000007,Spare for TT-30152: Sensor Element,1,Medium,CFIHOS-00000200
SP-000008,Spare for TT-30152: Gasket Set,1,Medium,CFIHOS-00000200
SP-000009,Spare for PSV-27660: Seal Kit,2,High,CFIHOS-00000200
SP-000010,Spare for K-39654: Seal Kit,4,Medium,CFIHOS-00000200
SP-000011,Spare for LT-29668: Seal Kit,4,High,CFIHOS-00000200
SP-000012,Spare for FT-19796: O-Ring Kit,1,Low,CFIHOS-00000200
SP-000013,Spare for FT-19796: Seal Kit,3,High,CFIHOS-00000200
SP-000014,Spare for E-24240: Sensor Element,4,High,CFIHOS-00000200
SP-000015,Spare for E-24240: O-Ring Kit,4,High,CFIHOS-00000200
SP-000016,Spare for E-37982: O-Ring Kit,2,Medium,CFIHOS-00000200
SP-000017,Spare for E-37982: Seal Kit,2,Low,CFIHOS-00000200
SP-000018,Spare for FT-4444: Diaphragm,4,High,CFIHOS-00000200
SP-000019,Spare for LT-6059: Seal Kit,2,Low,CFIHOS-00000200
SP-000020,Spare for LT-6059: Sensor Element,1,Low,CFIHOS-00000200
SP-000021,Spare for P-32755: Bearing Assembly,3,Low,CFIHOS-00000200
SP-000022,Spare for V-18445: Diaphragm,4,Low,CFIHOS-00000200
SP-000023,Spare for V-18445: Bearing Assembly,1,Medium,CFIHOS-00000200
SP-000024,Spare for P-14739: O-Ring Kit,3,High,CFIHOS-00000200
SP-000025,Spare for FCV-16400: O-Ring Kit,1,High,CFIHOS-00000200
SP-000026,Spare for PT-5375: Sensor Element,1,Low,CFIHOS-00000200
SP-000027,Spare for TT-15668: Gasket Set,2,Low,CFIHOS-00000200
SP-000028,Spare for COL-37095: Seal Kit,1,Medium,CFIHOS-00000200
SP-000029,Spare for COL-37095: Seal Kit,4,High,CFIHOS-00000200
SP-000030,Spare for XV-33693: Seal Kit,2,Medium,CFIHOS-00000200
SP-000031,Spare for V-36372: Diaphragm,4,Low,CFIHOS-00000200
SP-000032,Spare for P-29448: Gasket Set,3,Medium,CFIHOS-00000200
SP-000033,Spare for P-29448: O-Ring Kit,4,Low,CFIHOS-00000200
SP-000034,Spare for TT-13618: Seal Kit,4,High,CFIHOS-00000200
SP-000035,Spare for TT-13618: Bearing Assembly,3,High,CFIHOS-00000200
SP-000036,Spare for P-28535: O-Ring Kit,1,Medium,CFIHOS-00000200
SP-000037,Spare for P-28535: Sensor Element,2,Medium,CFIHOS-00000200
SP-000038,Spare for TT-24867: O-Ring Kit,4,Low,CFIHOS-00000200
SP-000039,Spare for TT-24867: Bearing Assembly,2,Medium,CFIHOS-00000200
SP-000040,Spare for FCV-16987: O-Ring Kit,3,Medium,CFIHOS-00000200
SP-000041,Spare for FCV-16987: Seal Kit,1,High,CFIHOS-00000200
SP-000042,Spare for P-16286: Bearing Assembly,1,Medium,CFIHOS-00000200
SP-000043,Spare for PSV-31554: O-Ring Kit,1,Medium,CFIHOS-00000200
SP-000044,Spare for LT-33448: Seal Kit,2,Low,CFIHOS-00000200
SP-000045,Spare for LT-33448: Diaphragm,4,Medium,CFIHOS-00000200
SP-000046,Spare for FCV-39558: Bearing Assembly,1,High,CFIHOS-00000200
SP-000047,Spare for E-14536: Sensor Element,4,Medium,CFIHOS-00000200
SP-000048,Spare for E-14536: Gasket Set,3,Medium,CFIHOS-00000200
SP-000049,Spare for E-15571: Sensor Element,1,Medium,CFIHOS-00000200
SP-000050,Spare for P-27669: Bearing Assembly,4,High,CFIHOS-00000200
SP-000051,Spare for TT-15303: Bearing Assembly,4,High,CFIHOS-00000200
SP-000052,Spare for TT-15303: Gasket Set,4,Medium,CFIHOS-00000200
SP-000053,Spare for COL-37391: Bearing Assembly,4,High,CFIHOS-00000200
SP-000054,Spare for COL-37391: Seal Kit,3,High,CFIHOS-00000200
SP-000055,Spare for LT-10780: Sensor Element,1,Low,CFIHOS-00000200
SP-000056,Spare for LT-10780: Gasket Set,1,Medium,CFIHOS-00000200
SP-000057,Spare for PT-2096: Sensor Element,3,Medium,CFIHOS-00000200
