systemId,name,systemType,cfihosId
SYS-00001,Power Distribution System,Power Distribution,CFIHOS-00000119
SYS-00002,Cooling Water System,Cooling Water,CFIHOS-00000119
SYS-00003,Hydrotreating System,Hydrotreating,CFIHOS-00000119
SYS-00004,Crude Distillation System,Crude Distillation,CFIHOS-00000119
SYS-00005,Instrument Air System,Instrument Air,CFIHOS-00000119
SYS-00006,Wastewater Treatment System,Wastewater Treatment,CFIHOS-00000119
SYS-00007,Compression System,Compression,CFIHOS-00000119
SYS-00008,Power Distribution System,Power Distribution,CFIHOS-00000119
SYS-00009,Flare System,Flare,CFIHOS-00000119
SYS-00010,Crude Distillation System,Crude Distillation,CFIHOS-00000119
SYS-00011,Instrument Air System,Instrument Air,CFIHOS-00000119
SYS-00012,Storage & Loading System,Storage & Loading,CFIHOS-00000119
SYS-00013,Wastewater Treatment System,Wastewater Treatment,CFIHOS-00000119
SYS-00014,Firewater System,Firewater,CFIHOS-00000119
SYS-00015,Instrument Air System,Instrument Air,CFIHOS-00000119
SYS-00016,Hydrotreating System,Hydrotreating,CFIHOS-00000119
SYS-00017,Cooling Water System,Cooling Water,CFIHOS-00000119
SYS-00018,Wastewater Treatment System,Wastewater Treatment,CFIHOS-00000119
SYS-00019,Power Distribution System,Power Distribution,CFIHOS-00000119
SYS-00020,Firewater System,Firewater,CFIHOS-00000119
SYS-00021,Flare System,Flare,CFIHOS-00000119
SYS-00022,Power Distribution System,Power Distribution,CFIHOS-00000119
SYS-00023,Compression System,Compression,CFIHOS-00000119
SYS-00024,Firewater System,Firewater,CFIHOS-00000119
SYS-00025,Cooling Water System,Cooling Water,CFIHOS-00000119
SYS-00026,Hydrotreating System,Hydrotreating,CFIHOS-00000119
SYS-00027,Flare System,Flare,CFIHOS-00000119
SYS-00028,Wastewater Treatment System,Wastewater Treatment,CFIHOS-00000119
SYS-00029,Hydrotreating System,Hydrotreating,CFIHOS-00000119
SYS-00030,Crude Distillation System,Crude Distillation,CFIHOS-00000119
SYS-00031,Crude Distillation System,Crude Distillation,CFIHOS-00000119
SYS-00032,Hydrotreating System,Hydrotreating,CFIHOS-00000119
SYS-00033,Cooling Water System,Cooling Water,CFIHOS-00000119
SYS-00034,Wastewater Treatment System,Wastewater Treatment,CFIHOS-00000119
SYS-00035,Flare System,Flare,CFIHOS-00000119
SYS-00036,Instrument Air System,Instrument Air,CFIHOS-00000119
SYS-00037,Firewater System,Firewater,CFIHOS-00000119
SYS-00038,Storage & Loading System,Storage & Loading,CFIHOS-00000119
SYS-00039,Crude Distillation System,Crude Distillation,CFIHOS-00000119
SYS-00040,Compression System,Compression,CFIHOS-00000119
SYS-00041,Power Distribution System,Power Distribution,CFIHOS-00000119
SYS-00042,Storage & Loading System,Storage & Loading,CFIHOS-00000119
SYS-00043,Cooling Water System,Cooling Water,CFIHOS-00000119
SYS-00044,Wastewater Treatment System,Wastewater Treatment,CFIHOS-00000119
SYS-00045,Instrument Air System,Instrument Air,CFIHOS-00000119
SYS-00046,Power Distribution System,Power Distribution,CFIHOS-00000119
SYS-00047,Wastewater Treatment System,Wastewater Treatment,CFIHOS-00000119
SYS-00048,Flare System,Flare,CFIHOS-00000119
SYS-00049,Hydrotreating System,Hydrotreating,CFIHOS-00000119
SYS-00050,Storage & Loading System,Storage & Loading,CFIHOS-00000119
SYS-00051,Compression System,Compression,CFIHOS-00000119
SYS-00052,Crude Distillation System,Crude Distillation,CFIHOS-00000119
SYS-00053,Wastewater Treatment System,Wastewater Treatment,CFIHOS-00000119
SYS-00054,Storage & Loading System,Storage & Loading,CFIHOS-00000119
SYS-00055,Instrument Air System,Instrument Air,CFIHOS-00000119
SYS-00056,Compression System,Compression,CFIHOS-00000119
SYS-00057,Crude Distillation System,Crude Distillation,CFIHOS-00000119
SYS-00058,Flare System,Flare,CFIHOS-00000119
SYS-00059,Compression System,Compression,CFIHOS-00000119
SYS-00060,Storage & Loading System,Storage & Loading,CFIHOS-00000119
SYS-00061,Hydrotreating System,Hydrotreating,CFIHOS-00000119
SYS-00062,Compression System,Compression,CFIHOS-00000119
SYS-00063,Storage & Loading System,Storage & Loading,CFIHOS-00000119
SYS-00064,Firewater System,Firewater,CFIHOS-00000119
SYS-00065,Crude Distillation System,Crude Distillation,CFIHOS-00000119
SYS-00066,Flare System,Flare,CFIHOS-00000119
SYS-00067,Cooling Water System,Cooling Water,CFIHOS-00000119
SYS-00068,Instrument Air System,Instrument Air,CFIHOS-00000119
SYS-00069,Cooling Water System,Cooling Water,CFIHOS-00000119
SYS-00070,Crude Distillation System,Crude Distillation,CFIHOS-00000119
SYS-00071,Hydrotreating System,Hydrotreating,CFIHOS-00000119
SYS-00072,Storage & Loading System,Storage & Loading,CFIHOS-00000119
SYS-00073,Instrument Air System,Instrument Air,CFIHOS-00000119
SYS-00074,Firewater System,Firewater,CFIHOS-00000119
SYS-00075,Compression System,Compression,CFIHOS-00000119
SYS-00076,Flare System,Flare,CFIHOS-00000119
SYS-00077,Instrument Air System,Instrument Air,CFIHOS-00000119
