tagNumber,tagDescription,tagStatus,equipmentClassId,manufacturer,criticalityClass,installationDate,cfihosId
TT-1,Temperature Transmitter TT-1,Commissioning,EC-INST-TT,Reedmoor Pumps & Compressors,Medium,2022-09-29,CFIHOS-00000028
P-2,Centrifugal Pump P-2,In Service,EC-PUMP-CENTR,Ironclad Controls Inc.,High,2021-05-27,CFIHOS-00000028
XV-3,Isolation Valve XV-3,Commissioning,EC-VALVE-ISO,Halberd Valve Corporation,Medium,2020-01-20,CFIHOS-00000028
E-4,Shell & Tube Exchanger E-4,Decommissioned,EC-HEATEXCH-SHELL,Ironclad Controls Inc.,Low,2019-03-19,CFIHOS-00000028
V-5,Separator V-5,Out of Service,EC-VESSEL-SEP,Halberd Valve Corporation,Medium,2016-11-29,CFIHOS-00000028
P-6,Centrifugal Pump P-6,Out of Service,EC-PUMP-CENTR,Reedmoor Pumps & Compressors,Low,2020-01-07,CFIHOS-00000028
K-7,Centrifugal Compressor K-7,Commissioning,EC-COMPRESSOR-CENTR,Halberd Valve Corporation,High,2017-05-29,CFIHOS-00000028
PSV-8,Pressure Relief Valve PSV-8,In Service,EC-VALVE-RELIEF,Ironclad Controls Inc.,Medium,2019-12-16,CFIHOS-00000028
FCV-9,Control Valve FCV-9,Commissioning,EC-VALVE-CTRL,Ironclad Controls Inc.,Medium,2020-01-18,CFIHOS-00000028
TT-10,Temperature Transmitter TT-10,In Service,EC-INST-TT,Ironclad Controls Inc.,Low,2015-03-10,CFIHOS-00000028
TT-11,Temperature Transmitter TT-11,Commissioning,EC-INST-TT,Halberd Valve Corporation,Medium,2015-12-09,CFIHOS-00000028
E-12,Shell & Tube Exchanger E-12,In Service,EC-HEATEXCH-SHELL,Halberd Valve Corporation,High,2016-11-27,CFIHOS-00000028
P-13,Centrifugal Pump P-13,Decommissioned,EC-PUMP-CENTR,Ironclad Controls Inc.,Low,2016-07-08,CFIHOS-00000028
K-14,Centrifugal Compressor K-14,Commissioning,EC-COMPRESSOR-CENTR,Reedmoor Pumps & Compressors,Medium,2013-05-02,CFIHOS-00000028
P-15,Centrifugal Pump P-15,Commissioning,EC-PUMP-CENTR,Reedmoor Pumps & Compressors,High,2023-10-21,CFIHOS-00000028
COL-16,Distillation Column COL-16,In Service,EC-VESSEL-COL,Ironclad Controls Inc.,Low,2014-04-07,CFIHOS-00000028
COL-17,Distillation Column COL-17,Out of Service,EC-VESSEL-COL,Reedmoor Pumps & Compressors,High,2021-10-18,CFIHOS-00000028
K-18,Centrifugal Compressor K-18,Decommissioned,EC-COMPRESSOR-CENTR,Reedmoor Pumps & Compressors,Low,2020-01-02,CFIHOS-00000028
XV-19,Isolation Valve XV-19,Commissioning,EC-VALVE-ISO,Ironclad Controls Inc.,Low,2018-08-09,CFIHOS-00000028
FCV-20,Control Valve FCV-20,Commissioning,EC-VALVE-CTRL,Ironclad Controls Inc.,Medium,2012-09-22,CFIHOS-00000028
FCV-21,Control Valve FCV-21,Out of Service,EC-VALVE-CTRL,Reedmoor Pumps & Compressors,Low,2014-05-02,CFIHOS-00000028
E-22,Shell & Tube Exchanger E-22,Commissioning,EC-HEATEXCH-SHELL,Halberd Valve Corporation,High,2019-10-12,CFIHOS-00000028
COL-23,Distillation Column COL-23,Commissioning,EC-VESSEL-COL,Ironclad Controls Inc.,Medium,2012-04-03,CFIHOS-00000028
PSV-24,Pressure Relief Valve PSV-24,Commissioning,EC-VALVE-RELIEF,Halberd Valve Corporation,Medium,2017-10-03,CFIHOS-00000028
K-25,Centrifugal Compressor K-25,In Service,EC-COMPRESSOR-CENTR,Halberd Valve Corporation,Medium,2021-10-29,CFIHOS-00000028
LT-26,Level Transmitter LT-26,Decommissioned,EC-INST-LT,Ironclad Controls Inc.,Medium,2020-06-29,CFIHOS-00000028
COL-27,Distillation Column COL-27,Decommissioned,EC-VESSEL-COL,Reedmoor Pumps & Compressors,Low,2017-01-21,CFIHOS-00000028
FCV-28,Control Valve FCV-28,Decommissioned,EC-VALVE-CTRL,Halberd Valve Corporation,Medium,2012-06-13,CFIHOS-00000028
COL-29,Distillation Column COL-29,Out of Service,EC-VESSEL-COL,Halberd Valve Corporation,Medium,2015-10-25,CFIHOS-00000028
V-30,Separator V-30,Commissioning,EC-VESSEL-SEP,Halberd Valve Corporation,High,2019-07-31,CFIHOS-00000028
TT-31,Temperature Transmitter TT-31,Decommissioned,EC-INST-TT,Ironclad Controls Inc.,Low,2015-09-13,CFIHOS-00000028
TT-32,Temperature Transmitter TT-32,Decommissioned,EC-INST-TT,Halberd Valve Corporation,High,2019-06-05,CFIHOS-00000028
XV-33,Isolation Valve XV-33,Commissioning,EC-VALVE-ISO,Halberd Valve Corporation,Low,2017-12-13,CFIHOS-00000028
FT-34,Flow Transmitter FT-34,Out of Service,EC-INST-FT,Reedmoor Pumps & Compressors,High,2013-02-10,CFIHOS-00000028
V-35,Separator V-35,Decommissioned,EC-VESSEL-SEP,Halberd Valve Corporation,Medium,2012-02-01,CFIHOS-00000028
V-36,Separator V-36,In Service,EC-VESSEL-SEP,Ironclad Controls Inc.,Medium,2016-06-23,CFIHOS-00000028
P-37,Reciprocating Pump P-37,In Service,EC-PUMP-RECIP,Reedmoor Pumps & Compressors,Low,2018-07-18,CFIHOS-00000028
P-38,Reciprocating Pump P-38,Decommissioned,EC-PUMP-RECIP,Ironclad Controls Inc.,Medium,2022-07-24,CFIHOS-00000028
E-39,Shell & Tube Exchanger E-39,Out of Service,EC-HEATEXCH-SHELL,Halberd Valve Corporation,Medium,2016-02-23,CFIHOS-00000028
COL-40,Distillation Column COL-40,Decommissioned,EC-VESSEL-COL,Reedmoor Pumps & Compressors,Medium,2012-12-31,CFIHOS-00000028
PSV-41,Pressure Relief Valve PSV-41,Decommissioned,EC-VALVE-RELIEF,Ironclad Controls Inc.,High,2018-01-09,CFIHOS-00000028
TT-42,Temperature Transmitter TT-42,In Service,EC-INST-TT,Halberd Valve Corporation,High,2019-09-17,CFIHOS-00000028
