tpvId,tagNumber,propertyId,value,unitOfMeasureId,cfihosId
TPV-0000001,TT-1,PROP-003,4.5,UOM-BARG,CFIHOS-00000030
TPV-0000002,TT-1,PROP-007,Carbon Steel,,CFIHOS-00000030
TPV-0000003,TT-1,PROP-001,65.6,UOM-BARG,CFIHOS-00000030
TPV-0000004,TT-1,PROP-010,None,,CFIHOS-00000030
TPV-0000005,P-2,PROP-007,Carbon Steel,,CFIHOS-00000030
TPV-0000006,P-2,PROP-003,143.4,UOM-BARG,CFIHOS-00000030
TPV-0000007,P-2,PROP-002,346.3,UOM-DEGC,CFIHOS-00000030
TPV-0000008,XV-3,PROP-005,2307.8,UOM-M3H,CFIHOS-00000030
TPV-0000009,XV-3,PROP-001,117.4,UOM-BARG,CFIHOS-00000030
TPV-0000010,E-4,PROP-007,Duplex Stainless Steel,,CFIHOS-00000030
TPV-0000011,E-4,PROP-012,19.2,UOM-BARG,CFIHOS-00000030
TPV-0000012,V-5,PROP-002,257.2,UOM-DEGC,CFIHOS-00000030
TPV-0000013,V-5,PROP-001,35.3,UOM-BARG,CFIHOS-00000030
TPV-0000014,V-5,PROP-007,Duplex Stainless Steel,,CFIHOS-00000030
TPV-0000015,P-6,PROP-011,3433.8,UOM-KG,CFIHOS-00000030
TPV-0000016,P-6,PROP-006,891.5,UOM-KW,CFIHOS-00000030
TPV-0000017,P-6,PROP-005,1058.0,UOM-M3H,CFIHOS-00000030
TPV-0000018,K-7,PROP-010,Mineral Wool,,CFIHOS-00000030
TPV-0000019,K-7,PROP-005,1808.0,UOM-M3H,CFIHOS-00000030
TPV-0000020,PSV-8,PROP-001,94.2,UOM-BARG,CFIHOS-00000030
TPV-0000021,PSV-8,PROP-003,2.6,UOM-BARG,CFIHOS-00000030
TPV-0000022,PSV-8,PROP-004,124.8,UOM-DEGC,CFIHOS-00000030
TPV-0000023,PSV-8,PROP-008,80,UOM-MM,CFIHOS-00000030
TPV-0000024,FCV-9,PROP-006,341.5,UOM-KW,CFIHOS-00000030
TPV-0000025,FCV-9,PROP-011,11726.2,UOM-KG,CFIHOS-00000030
TPV-0000026,FCV-9,PROP-005,1584.2,UOM-M3H,CFIHOS-00000030
TPV-0000027,TT-10,PROP-012,4.7,UOM-BARG,CFIHOS-00000030
TPV-0000028,TT-10,PROP-007,Hastelloy C276,,CFIHOS-00000030
TPV-0000029,TT-10,PROP-003,97.8,UOM-BARG,CFIHOS-00000030
TPV-0000030,TT-11,PROP-007,Stainless Steel 316,,CFIHOS-00000030
TPV-0000031,TT-11,PROP-003,43.5,UOM-BARG,CFIHOS-00000030
TPV-0000032,TT-11,PROP-001,7.9,UOM-BARG,CFIHOS-00000030
TPV-0000033,TT-11,PROP-006,2758.8,UOM-KW,CFIHOS-00000030
TPV-0000034,E-12,PROP-003,11.3,UOM-BARG,CFIHOS-00000030
TPV-0000035,E-12,PROP-007,Stainless Steel 316,,CFIHOS-00000030
TPV-0000036,E-12,PROP-005,1153.6,UOM-M3H,CFIHOS-00000030
TPV-0000037,E-12,PROP-002,166.5,UOM-DEGC,CFIHOS-00000030
TPV-0000038,P-13,PROP-008,200,UOM-MM,CFIHOS-00000030
TPV-0000039,P-13,PROP-004,88.1,UOM-DEGC,CFIHOS-00000030
TPV-0000040,P-13,PROP-007,Stainless Steel 316,,CFIHOS-00000030
TPV-0000041,K-14,PROP-002,435.9,UOM-DEGC,CFIHOS-00000030
TPV-0000042,K-14,PROP-003,102.0,UOM-BARG,CFIHOS-00000030
TPV-0000043,P-15,PROP-011,1366.9,UOM-KG,CFIHOS-00000030
TPV-0000044,P-15,PROP-006,11.1,UOM-KW,CFIHOS-00000030
TPV-0000045,P-15,PROP-007,Stainless Steel 316,,CFIHOS-00000030
TPV-0000046,P-15,PROP-009,300#,,CFIHOS-00000030
TPV-0000047,COL-16,PROP-001,11.9,UOM-BARG,CFIHOS-00000030
TPV-0000048,COL-16,PROP-003,107.8,UOM-BARG,CFIHOS-00000030
TPV-0000049,COL-17,PROP-012,44.1,UOM-BARG,CFIHOS-00000030
TPV-0000050,COL-17,PROP-005,1240.8,UOM-M3H,CFIHOS-00000030
TPV-0000051,K-18,PROP-006,1068.4,UOM-KW,CFIHOS-00000030
TPV-0000052,K-18,PROP-009,150#,,CFIHOS-00000030
TPV-0000053,XV-19,PROP-010,Calcium Silicate,,CFIHOS-00000030
TPV-0000054,XV-19,PROP-003,33.8,UOM-BARG,CFIHOS-00000030
TPV-0000055,XV-19,PROP-005,469.1,UOM-M3H,CFIHOS-00000030
TPV-0000056,XV-19,PROP-001,68.8,UOM-BARG,CFIHOS-00000030
TPV-0000057,FCV-20,PROP-009,300#,,CFIHOS-00000030
TPV-0000058,FCV-20,PROP-013,92.5,UOM-BARG,CFIHOS-00000030
TPV-0000059,FCV-20,PROP-012,76.5,UOM-BARG,CFIHOS-00000030
TPV-0000060,FCV-20,PROP-004,188.7,UOM-DEGC,CFIHOS-00000030
TPV-0000061,FCV-21,PROP-007,Carbon Steel,,CFIHOS-00000030
TPV-0000062,FCV-21,PROP-013,24.7,UOM-BARG,CFIHOS-00000030
TPV-0000063,FCV-21,PROP-001,38.8,UOM-BARG,CFIHOS-00000030
TPV-0000064,FCV-21,PROP-005,368.0,UOM-M3H,CFIHOS-00000030
TPV-0000065,E-22,PROP-004,-19.2,UOM-DEGC,CFIHOS-00000030
TPV-0000066,E-22,PROP-012,8.2,UOM-BARG,CFIHOS-00000030
TPV-0000067,COL-23,PROP-005,813.0,UOM-M3H,CFIHOS-00000030
TPV-0000068,COL-23,PROP-002,388.5,UOM-DEGC,CFIHOS-00000030
TPV-0000069,COL-23,PROP-006,490.1,UOM-KW,CFIHOS-00000030
TPV-0000070,COL-23,PROP-001,147.4,UOM-BARG,CFIHOS-00000030
TPV-0000071,PSV-24,PROP-013,75.2,UOM-BARG,CFIHOS-00000030
TPV-0000072,PSV-24,PROP-003,145.5,UOM-BARG,CFIHOS-00000030
TPV-0000073,K-25,PROP-003,76.8,UOM-BARG,CFIHOS-00000030
TPV-0000074,K-25,PROP-008,100,UOM-MM,CFIHOS-00000030
TPV-0000075,K-25,PROP-001,115.7,UOM-BARG,CFIHOS-00000030
TPV-0000076,LT-26,PROP-008,300,UOM-MM,CFIHOS-00000030
TPV-0000077,LT-26,PROP-010,None,,CFIHOS-00000030
TPV-0000078,COL-27,PROP-007,Duplex Stainless Steel,,CFIHOS-00000030
TPV-0000079,COL-27,PROP-001,86.7,UOM-BARG,CFIHOS-00000030
TPV-0000080,FCV-28,PROP-002,332.6,UOM-DEGC,CFIHOS-00000030
TPV-0000081,FCV-28,PROP-005,1376.5,UOM-M3H,CFIHOS-00000030
TPV-0000082,FCV-28,PROP-001,60.1,UOM-BARG,CFIHOS-00000030
TPV-0000083,FCV-28,PROP-012,45.8,UOM-BARG,CFIHOS-00000030
TPV-0000084,COL-29,PROP-006,238.9,UOM-KW,CFIHOS-00000030
TPV-0000085,COL-29,PROP-007,Duplex Stainless Steel,,CFIHOS-00000030
TPV-0000086,V-30,PROP-007,Duplex Stainless Steel,,CFIHOS-00000030
TPV-0000087,V-30,PROP-012,18.4,UOM-BARG,CFIHOS-00000030
TPV-0000088,V-30,PROP-004,91.5,UOM-DEGC,CFIHOS-00000030
TPV-0000089,TT-31,PROP-010,Personnel Protection,,CFIHOS-00000030
TPV-0000090,TT-31,PROP-002,437.8,UOM-DEGC,CFIHOS-00000030
TPV-0000091,TT-31,PROP-005,1368.0,UOM-M3H,CFIHOS-00000030
TPV-0000092,TT-31,PROP-006,1817.0,UOM-KW,CFIHOS-00000030
TPV-0000093,TT-32,PROP-003,136.3,UOM-BARG,CFIHOS-00000030
TPV-0000094,TT-32,PROP-009,900#,,CFIHOS-00000030
TPV-0000095,XV-33,PROP-007,Stainless Steel 316,,CFIHOS-00000030
TPV-0000096,XV-33,PROP-013,89.6,UOM-BARG,CFIHOS-00000030
TPV-0000097,XV-33,PROP-012,39.0,UOM-BARG,CFIHOS-00000030
TPV-0000098,FT-34,PROP-012,85.2,UOM-BARG,CFIHOS-00000030
TPV-0000099,FT-34,PROP-011,10993.5,UOM-KG,CFIHOS-00000030
TPV-0000100,FT-34,PROP-008,80,UOM-MM,CFIHOS-00000030
TPV-0000101,V-35,PROP-009,600#,,CFIHOS-00000030
TPV-0000102,V-35,PROP-002,279.3,UOM-DEGC,CFIHOS-00000030
TPV-0000103,V-35,PROP-007,Duplex Stainless Steel,,CFIHOS-00000030
TPV-0000104,V-36,PROP-010,Personnel Protection,,CFIHOS-00000030
TPV-0000105,V-36,PROP-009,900#,,CFIHOS-00000030
TPV-0000106,V-36,PROP-008,80,UOM-MM,CFIHOS-00000030
TPV-0000107,V-36,PROP-006,587.5,UOM-KW,CFIHOS-00000030
TPV-0000108,P-37,PROP-012,9.3,UOM-BARG,CFIHOS-00000030
TPV-0000109,P-37,PROP-008,150,UOM-MM,CFIHOS-00000030
TPV-0000110,P-37,PROP-007,Stainless Steel 316,,CFIHOS-00000030
TPV-0000111,P-38,PROP-005,1042.9,UOM-M3H,CFIHOS-00000030
TPV-0000112,P-38,PROP-012,86.6,UOM-BARG,CFIHOS-00000030
TPV-0000113,P-38,PROP-010,Mineral Wool,,CFIHOS-00000030
TPV-0000114,P-38,PROP-008,50,UOM-MM,CFIHOS-00000030
TPV-0000115,E-39,PROP-008,400,UOM-MM,CFIHOS-00000030
TPV-0000116,E-39,PROP-003,33.2,UOM-BARG,CFIHOS-00000030
TPV-0000117,E-39,PROP-009,600#,,CFIHOS-00000030
TPV-0000118,E-39,PROP-010,Personnel Protection,,CFIHOS-00000030
TPV-0000119,COL-40,PROP-004,431.0,UOM-DEGC,CFIHOS-00000030
TPV-0000120,COL-40,PROP-003,65.5,UOM-BARG,CFIHOS-00000030
TPV-0000121,PSV-41,PROP-002,18.3,UOM-DEGC,CFIHOS-00000030
TPV-0000122,PSV-41,PROP-008,400,UOM-MM,CFIHOS-00000030
TPV-0000123,TT-42,PROP-005,1233.2,UOM-M3H,CFIHOS-00000030
