from,to
INC-000001,OTA-000523
INC-000002,OTA-005729
INC-000003,OTA-003115
INC-000004,OTA-012717
INC-000005,OTA-001552
INC-000006,OTA-011762
INC-000007,OTA-005849
INC-000008,OTA-005421
INC-000009,OTA-014432
INC-000010,OTA-012034
INC-000011,OTA-013257
INC-000012,OTA-010328
INC-000013,OTA-014056
INC-000014,OTA-013373
INC-000015,OTA-005121
INC-000016,OTA-008955
INC-000017,OTA-000864
INC-000018,OTA-013069
INC-000019,OTA-005825
INC-000020,OTA-003202
INC-000021,OTA-005636
INC-000022,OTA-002639
INC-000023,OTA-013688
INC-000024,OTA-003939
INC-000025,OTA-002600
INC-000026,OTA-004559
INC-000027,OTA-004016
INC-000028,OTA-014581
INC-000029,OTA-011181
INC-000030,OTA-010956
INC-000031,OTA-000639
INC-000032,OTA-010242
INC-000033,OTA-001120
INC-000034,OTA-001355
INC-000035,OTA-002045
INC-000036,OTA-002419
INC-000037,OTA-007801
INC-000038,OTA-004277
INC-000039,OTA-002977
INC-000040,OTA-014620
INC-000041,OTA-014345
INC-000042,OTA-005679
INC-000043,OTA-000841
INC-000044,OTA-003251
INC-000045,OTA-000862
INC-000046,OTA-008481
INC-000047,OTA-002706
INC-000048,OTA-012853
INC-000049,OTA-015224
INC-000050,OTA-000233
INC-000051,OTA-008816
INC-000052,OTA-011466
INC-000053,OTA-012244
INC-000054,OTA-012356
INC-000055,OTA-002165
INC-000056,OTA-005531
INC-000057,OTA-011432
INC-000058,OTA-000896
INC-000059,OTA-013904
INC-000060,OTA-004381
INC-000061,OTA-005498
INC-000062,OTA-007391
INC-000063,OTA-004793
INC-000064,OTA-006239
INC-000065,OTA-000775
INC-000066,OTA-002244
INC-000067,OTA-002945
INC-000068,OTA-012297
INC-000069,OTA-009346
INC-000070,OTA-000120
INC-000071,OTA-014154
INC-000072,OTA-008421
INC-000073,OTA-004294
INC-000074,OTA-012881
INC-000075,OTA-009126
INC-000076,OTA-002312
INC-000077,OTA-009001
INC-000078,OTA-014686
INC-000079,OTA-007681
INC-000080,OTA-012873
INC-000081,OTA-003912
INC-000082,OTA-001162
INC-000083,OTA-007801
INC-000084,OTA-001745
INC-000085,OTA-005161
INC-000086,OTA-011932
INC-000087,OTA-004953
INC-000088,OTA-004052
INC-000089,OTA-013877
INC-000090,OTA-003087
INC-000091,OTA-013304
INC-000092,OTA-006577
INC-000093,OTA-013161
INC-000094,OTA-002621
INC-000095,OTA-013682
INC-000096,OTA-000199
INC-000097,OTA-011351
INC-000098,OTA-005471
INC-000099,OTA-003798
INC-000100,OTA-012725
INC-000101,OTA-012693
INC-000102,OTA-003021
INC-000103,OTA-003215
INC-000104,OTA-013034
INC-000105,OTA-015403
INC-000106,OTA-011003
INC-000107,OTA-009976
INC-000108,OTA-014117
INC-000109,OTA-008972
INC-000110,OTA-010786
INC-000111,OTA-011995
INC-000112,OTA-015233
INC-000113,OTA-003319
INC-000114,OTA-010618
INC-000115,OTA-001610
INC-000116,OTA-008220
INC-000117,OTA-015143
INC-000118,OTA-011317
INC-000119,OTA-000027
INC-000120,OTA-007724
INC-000121,OTA-014488
INC-000122,OTA-010917
INC-000123,OTA-004550
INC-000124,OTA-008827
INC-000125,OTA-000069
INC-000126,OTA-002301
INC-000127,OTA-012742
INC-000128,OTA-007547
INC-000129,OTA-014694
INC-000130,OTA-011201
INC-000131,OTA-004546
INC-000132,OTA-014870
INC-000133,OTA-007385
INC-000134,OTA-000881
INC-000135,OTA-014286
INC-000136,OTA-015344
INC-000137,OTA-002325
INC-000138,OTA-011522
INC-000139,OTA-010950
INC-000140,OTA-011093
INC-000141,OTA-005048
INC-000142,OTA-006762
INC-000143,OTA-004373
INC-000144,OTA-007326
INC-000145,OTA-008979
INC-000146,OTA-013980
INC-000147,OTA-009736
INC-000148,OTA-001683
INC-000149,OTA-006626
INC-000150,OTA-001127
INC-000151,OTA-008749
INC-000152,OTA-005501
INC-000153,OTA-003646
INC-000154,OTA-003815
INC-000155,OTA-004268
INC-000156,OTA-015101
INC-000157,OTA-001472
INC-000158,OTA-003103
INC-000159,OTA-009839
INC-000160,OTA-009735
INC-000161,OTA-001505
INC-000162,OTA-005188
INC-000163,OTA-010996
INC-000164,OTA-011334
INC-000165,OTA-012843
INC-000166,OTA-001168
INC-000167,OTA-009849
INC-000168,OTA-006913
INC-000169,OTA-011032
INC-000170,OTA-001959
INC-000171,OTA-000083
INC-000172,OTA-012307
INC-000173,OTA-002312
INC-000174,OTA-008618
INC-000175,OTA-001460
INC-000176,OTA-015456
INC-000177,OTA-013342
INC-000178,OTA-013476
INC-000179,OTA-011727
INC-000180,OTA-012559
INC-000181,OTA-008272
INC-000182,OTA-003043
INC-000183,OTA-012821
INC-000184,OTA-006433
INC-000185,OTA-014234
INC-000186,OTA-009492
INC-000187,OTA-010891
INC-000188,OTA-010814
INC-000189,OTA-003359
INC-000190,OTA-003647
INC-000191,OTA-010535
INC-000192,OTA-012259
INC-000193,OTA-002521
INC-000194,OTA-014449
INC-000195,OTA-005664
INC-000196,OTA-005053
INC-000197,OTA-012225
INC-000198,OTA-013739
INC-000199,OTA-012420
INC-000200,OTA-012697
INC-000201,OTA-006746
INC-000202,OTA-014249
INC-000203,OTA-002298
INC-000204,OTA-014320
INC-000205,OTA-000703
INC-000206,OTA-014137
INC-000207,OTA-004096
INC-000208,OTA-002114
INC-000209,OTA-011054
INC-000210,OTA-007112
INC-000211,OTA-007710
INC-000212,OTA-007857
INC-000213,OTA-014020
INC-000214,OTA-006838
INC-000215,OTA-006629
INC-000216,OTA-013731
INC-000217,OTA-011888
INC-000218,OTA-002736
INC-000219,OTA-000254
INC-000220,OTA-011739
INC-000221,OTA-000433
INC-000222,OTA-002599
INC-000223,OTA-014141
INC-000224,OTA-012885
INC-000225,OTA-000596
INC-000226,OTA-013420
INC-000227,OTA-007918
INC-000228,OTA-011473
INC-000229,OTA-012183
INC-000230,OTA-013056
INC-000231,OTA-002417
INC-000232,OTA-014170
INC-000233,OTA-004074
INC-000234,OTA-008590
INC-000235,OTA-011763
INC-000236,OTA-001855
INC-000237,OTA-002296
INC-000238,OTA-002750
INC-000239,OTA-006506
INC-000240,OTA-015010
INC-000241,OTA-012360
INC-000242,OTA-002233
INC-000243,OTA-004958
INC-000244,OTA-006551
INC-000245,OTA-007886
INC-000246,OTA-002593
INC-000247,OTA-000074
INC-000248,OTA-006345
INC-000249,OTA-001606
INC-000250,OTA-010977
INC-000251,OTA-010870
INC-000252,OTA-002964
INC-000253,OTA-003386
INC-000254,OTA-007517
INC-000255,OTA-003682
INC-000256,OTA-012327
INC-000257,OTA-009191
INC-000258,OTA-013305
INC-000259,OTA-012828
INC-000260,OTA-010813
INC-000261,OTA-012476
INC-000262,OTA-015166
INC-000263,OTA-010571
INC-000264,OTA-013740
INC-000265,OTA-010679
INC-000266,OTA-007850
INC-000267,OTA-010767
INC-000268,OTA-004641
INC-000269,OTA-007310
INC-000270,OTA-000670
INC-000271,OTA-011835
INC-000272,OTA-002408
