from,to
RA-000001,ZONE-0001
RA-000002,ZONE-0001
RA-000003,ZONE-0002
RA-000004,ZONE-0003
RA-000005,ZONE-0003
RA-000006,ZONE-0004
RA-000007,ZONE-0004
RA-000008,ZONE-0005
RA-000009,ZONE-0006
RA-000010,ZONE-0007
RA-000011,ZONE-0007
RA-000012,ZONE-0008
RA-000013,ZONE-0009
RA-000014,ZONE-0009
RA-000015,ZONE-0010
RA-000016,ZONE-0011
RA-000017,ZONE-0012
RA-000018,ZONE-0012
RA-000019,ZONE-0013
RA-000020,ZONE-0014
RA-000021,ZONE-0015
RA-000022,ZONE-0015
RA-000023,ZONE-0016
RA-000024,ZONE-0016
RA-000025,ZONE-0017
RA-000026,ZONE-0017
RA-000027,ZONE-0018
RA-000028,ZONE-0019
RA-000029,ZONE-0019
RA-000030,ZONE-0020
RA-000031,ZONE-0020
RA-000032,ZONE-0021
RA-000033,ZONE-0021
RA-000034,ZONE-0022
RA-000035,ZONE-0023
RA-000036,ZONE-0024
RA-000037,ZONE-0024
RA-000038,ZONE-0025
RA-000039,ZONE-0025
RA-000040,ZONE-0026
RA-000041,ZONE-0026
RA-000042,ZONE-0027
RA-000043,ZONE-0027
RA-000044,ZONE-0028
RA-000045,ZONE-0029
RA-000046,ZONE-0029
RA-000047,ZONE-0030
RA-000048,ZONE-0030
RA-000049,ZONE-0031
RA-000050,ZONE-0032
RA-000051,ZONE-0032
RA-000052,ZONE-0033
RA-000053,ZONE-0033
RA-000054,ZONE-0034
RA-000055,ZONE-0034
RA-000056,ZONE-0035
RA-000057,ZONE-0035
RA-000058,ZONE-0036
RA-000059,ZONE-0037
RA-000060,ZONE-0037
RA-000061,ZONE-0038
RA-000062,ZONE-0039
RA-000063,ZONE-0039
RA-000064,ZONE-0040
RA-000065,ZONE-0041
RA-000066,ZONE-0041
RA-000067,ZONE-0042
RA-000068,ZONE-0043
RA-000069,ZONE-0043
RA-000070,ZONE-0044
RA-000071,ZONE-0045
RA-000072,ZONE-0046
RA-000073,ZONE-0046
RA-000074,ZONE-0047
RA-000075,ZONE-0047
RA-000076,ZONE-0048
RA-000077,ZONE-0049
RA-000078,ZONE-0049
RA-000079,ZONE-0050
RA-000080,ZONE-0050
RA-000081,ZONE-0051
RA-000082,ZONE-0051
RA-000083,ZONE-0052
RA-000084,ZONE-0053
RA-000085,ZONE-0053
RA-000086,ZONE-0054
RA-000087,ZONE-0055
RA-000088,ZONE-0055
RA-000089,ZONE-0056
RA-000090,ZONE-0057
RA-000091,ZONE-0057
RA-000092,ZONE-0058
RA-000093,ZONE-0059
RA-000094,ZONE-0060
