from,to
OTA-000001,NET-00006
OTA-000002,NET-00006
OTA-000003,NET-00007
OTA-000004,NET-00006
OTA-000005,NET-00007
OTA-000006,NET-00007
OTA-000007,NET-00007
OTA-000008,NET-00007
OTA-000009,NET-00006
OTA-000010,NET-00007
OTA-000011,NET-00007
OTA-000012,NET-00006
OTA-000013,NET-00006
OTA-000014,NET-00007
OTA-000015,NET-00007
OTA-000016,NET-00006
OTA-000017,NET-00006
OTA-000018,NET-00006
OTA-000019,NET-00007
OTA-000020,NET-00007
OTA-000021,NET-00007
OTA-000022,NET-00006
OTA-000023,NET-00006
OTA-000024,NET-00006
OTA-000025,NET-00006
OTA-000026,NET-00007
OTA-000027,NET-00007
OTA-000028,NET-00007
OTA-000029,NET-00007
OTA-000030,NET-00006
OTA-000031,NET-00006
OTA-000032,NET-00007
OTA-000033,NET-00006
OTA-000034,NET-00007
OTA-000035,NET-00006
OTA-000036,NET-00007
OTA-000037,NET-00006
OTA-000038,NET-00007
OTA-000039,NET-00007
OTA-000040,NET-00006
OTA-000041,NET-00006
OTA-000042,NET-00007
OTA-000043,NET-00007
OTA-000044,NET-00007
OTA-000045,NET-00006
OTA-000046,NET-00006
OTA-000047,NET-00007
OTA-000048,NET-00007
OTA-000049,NET-00007
OTA-000050,NET-00006
OTA-000051,NET-00006
OTA-000052,NET-00007
OTA-000053,NET-00006
OTA-000054,NET-00007
OTA-000055,NET-00006
OTA-000056,NET-00006
OTA-000057,NET-00006
OTA-000058,NET-00006
OTA-000059,NET-00007
OTA-000060,NET-00007
OTA-000061,NET-00006
OTA-000062,NET-00006
OTA-000063,NET-00006
OTA-000064,NET-00007
OTA-000065,NET-00007
OTA-000066,NET-00007
OTA-000067,NET-00006
OTA-000068,NET-00007
OTA-000069,NET-00007
OTA-000070,NET-00007
OTA-000071,NET-00007
OTA-000072,NET-00006
OTA-000073,NET-00007
OTA-000074,NET-00006
OTA-000075,NET-00006
OTA-000076,NET-00007
OTA-000077,NET-00007
OTA-000078,NET-00006
OTA-000079,NET-00006
OTA-000080,NET-00006
OTA-000081,NET-00006
OTA-000082,NET-00006
OTA-000083,NET-00007
OTA-000084,NET-00006
OTA-000085,NET-00007
OTA-000086,NET-00007
OTA-000087,NET-00007
OTA-000088,NET-00006
OTA-000089,NET-00006
OTA-000090,NET-00007
OTA-000091,NET-00007
OTA-000092,NET-00007
OTA-000093,NET-00007
OTA-000094,NET-00006
OTA-000095,NET-00006
OTA-000096,NET-00007
OTA-000097,NET-00007
OTA-000098,NET-00006
OTA-000099,NET-00006
OTA-000100,NET-00007
OTA-000101,NET-00007
OTA-000102,NET-00006
OTA-000103,NET-00006
OTA-000104,NET-00006
OTA-000105,NET-00007
OTA-000106,NET-00006
OTA-000107,NET-00006
OTA-000108,NET-00007
OTA-000109,NET-00006
OTA-000110,NET-00006
OTA-000111,NET-00006
OTA-000112,NET-00007
OTA-000113,NET-00006
OTA-000114,NET-00007
OTA-000115,NET-00007
OTA-000116,NET-00007
OTA-000117,NET-00006
OTA-000118,NET-00006
OTA-000119,NET-00007
OTA-000120,NET-00007
OTA-000121,NET-00006
OTA-000122,NET-00007
OTA-000123,NET-00006
OTA-000124,NET-00007
OTA-000125,NET-00007
OTA-000126,NET-00006
OTA-000127,NET-00006
OTA-000128,NET-00006
OTA-000129,NET-00006
OTA-000130,NET-00007
OTA-000131,NET-00006
OTA-000132,NET-00006
OTA-000133,NET-00006
OTA-000134,NET-00006
OTA-000135,NET-00007
OTA-000136,NET-00007
OTA-000137,NET-00007
OTA-000138,NET-00006
OTA-000139,NET-00007
OTA-000140,NET-00007
OTA-000141,NET-00006
OTA-000142,NET-00006
OTA-000143,NET-00006
OTA-000144,NET-00006
OTA-000145,NET-00007
OTA-000146,NET-00006
OTA-000147,NET-00007
OTA-000148,NET-00007
OTA-000149,NET-00006
OTA-000150,NET-00006
OTA-000151,NET-00006
OTA-000152,NET-00007
OTA-000153,NET-00007
OTA-000154,NET-00006
OTA-000155,NET-00006
OTA-000156,NET-00007
OTA-000157,NET-00006
OTA-000158,NET-00006
OTA-000159,NET-00006
OTA-000160,NET-00006
OTA-000161,NET-00007
OTA-000162,NET-00007
OTA-000163,NET-00007
OTA-000164,NET-00006
OTA-000165,NET-00007
OTA-000166,NET-00006
OTA-000167,NET-00006
OTA-000168,NET-00006
OTA-000169,NET-00006
OTA-000170,NET-00007
OTA-000171,NET-00007
OTA-000172,NET-00006
OTA-000173,NET-00007
OTA-000174,NET-00007
OTA-000175,NET-00007
OTA-000176,NET-00006
OTA-000177,NET-00006
OTA-000178,NET-00006
OTA-000179,NET-00006
OTA-000180,NET-00007
OTA-000181,NET-00006
OTA-000182,NET-00006
OTA-000183,NET-00006
OTA-000184,NET-00006
OTA-000185,NET-00006
OTA-000186,NET-00006
OTA-000187,NET-00006
OTA-000188,NET-00006
OTA-000189,NET-00007
OTA-000190,NET-00006
OTA-000191,NET-00007
OTA-000192,NET-00007
OTA-000193,NET-00007
OTA-000194,NET-00007
OTA-000195,NET-00006
OTA-000196,NET-00007
OTA-000197,NET-00006
OTA-000198,NET-00006
OTA-000199,NET-00007
OTA-000200,NET-00007
OTA-000201,NET-00006
OTA-000202,NET-00007
OTA-000203,NET-00006
OTA-000204,NET-00007
OTA-000205,NET-00007
OTA-000206,NET-00007
OTA-000207,NET-00007
OTA-000208,NET-00006
OTA-000209,NET-00006
OTA-000210,NET-00007
OTA-000211,NET-00007
OTA-000212,NET-00006
OTA-000213,NET-00007
OTA-000214,NET-00006
OTA-000215,NET-00007
OTA-000216,NET-00007
OTA-000217,NET-00007
