from,to
COND-0001,ZONE-0002
COND-0002,ZONE-0003
COND-0003,ZONE-0004
COND-0004,ZONE-0005
COND-0005,ZONE-0007
COND-0006,ZONE-0008
COND-0007,ZONE-0009
COND-0008,ZONE-0010
COND-0009,ZONE-0012
COND-0010,ZONE-0013
COND-0011,ZONE-0014
COND-0012,ZONE-0015
COND-0013,ZONE-0017
COND-0014,ZONE-0018
COND-0015,ZONE-0019
COND-0016,ZONE-0020
COND-0017,ZONE-0022
COND-0018,ZONE-0023
COND-0019,ZONE-0024
COND-0020,ZONE-0025
COND-0021,ZONE-0027
COND-0022,ZONE-0028
COND-0023,ZONE-0029
COND-0024,ZONE-0030
COND-0025,ZONE-0032
COND-0026,ZONE-0033
COND-0027,ZONE-0034
COND-0028,ZONE-0035
COND-0029,ZONE-0037
COND-0030,ZONE-0038
COND-0031,ZONE-0039
COND-0032,ZONE-0040
COND-0033,ZONE-0042
COND-0034,ZONE-0043
COND-0035,ZONE-0044
COND-0036,ZONE-0045
COND-0037,ZONE-0047
COND-0038,ZONE-0048
COND-0039,ZONE-0049
COND-0040,ZONE-0050
COND-0041,ZONE-0052
COND-0042,ZONE-0053
COND-0043,ZONE-0054
COND-0044,ZONE-0055
COND-0045,ZONE-0057
COND-0046,ZONE-0058
COND-0047,ZONE-0059
COND-0048,ZONE-0060
