from,to
SYS-00001,TT-1
SYS-00001,P-2
SYS-00001,XV-3
SYS-00001,E-4
SYS-00001,V-5
SYS-00001,P-6
SYS-00001,K-7
SYS-00001,PSV-8
SYS-00001,FCV-9
SYS-00001,TT-10
SYS-00001,TT-11
SYS-00001,E-12
SYS-00001,P-13
SYS-00001,K-14
SYS-00001,P-15
SYS-00001,COL-16
SYS-00001,COL-17
SYS-00001,K-18
SYS-00001,XV-19
SYS-00001,FCV-20
SYS-00001,FCV-21
SYS-00001,E-22
SYS-00001,COL-23
SYS-00001,PSV-24
SYS-00001,K-25
SYS-00001,LT-26
SYS-00001,COL-27
SYS-00001,FCV-28
SYS-00001,COL-29
SYS-00001,V-30
SYS-00001,TT-31
SYS-00001,TT-32
SYS-00001,XV-33
SYS-00001,FT-34
SYS-00001,V-35
SYS-00001,V-36
SYS-00001,P-37
SYS-00001,P-38
SYS-00001,E-39
SYS-00001,COL-40
SYS-00001,PSV-41
SYS-00001,TT-42
SYS-00001,K-43
SYS-00001,V-44
SYS-00001,E-45
SYS-00001,PT-46
SYS-00002,K-47
SYS-00002,FT-48
SYS-00002,COL-49
SYS-00002,PT-50
SYS-00002,K-51
SYS-00002,TT-52
SYS-00002,PT-53
SYS-00002,TT-54
SYS-00002,FCV-55
SYS-00002,P-56
SYS-00002,K-57
SYS-00002,XV-58
SYS-00002,LT-59
SYS-00002,XV-60
SYS-00002,PT-61
SYS-00002,V-62
SYS-00002,XV-63
SYS-00002,P-64
SYS-00002,PT-65
SYS-00002,E-66
SYS-00002,COL-67
SYS-00002,V-68
SYS-00002,FT-69
SYS-00002,PT-70
SYS-00002,TT-71
SYS-00002,LT-72
SYS-00002,PSV-73
SYS-00002,TT-74
SYS-00002,FT-75
SYS-00002,PSV-76
SYS-00002,FT-77
SYS-00002,XV-78
SYS-00002,FT-79
SYS-00002,PSV-80
SYS-00002,TT-81
SYS-00002,FT-82
SYS-00002,FT-83
SYS-00002,LT-84
SYS-00002,FT-85
SYS-00002,V-86
SYS-00002,E-87
SYS-00002,E-88
SYS-00002,PT-89
SYS-00002,XV-90
SYS-00002,COL-91
SYS-00002,COL-92
SYS-00002,K-93
SYS-00002,FCV-94
SYS-00002,V-95
SYS-00002,P-96
SYS-00002,FT-97
SYS-00002,P-98
SYS-00002,P-99
SYS-00002,TT-100
SYS-00002,COL-101
SYS-00002,XV-102
SYS-00002,FCV-103
SYS-00003,PT-104
SYS-00003,FT-105
SYS-00003,V-106
SYS-00003,XV-107
SYS-00003,FT-108
SYS-00003,V-109
SYS-00003,P-110
SYS-00003,K-111
SYS-00003,PSV-112
SYS-00003,LT-113
SYS-00003,FT-114
SYS-00003,FCV-115
SYS-00003,PSV-116
SYS-00003,P-117
SYS-00003,K-118
SYS-00003,P-119
SYS-00003,TT-120
SYS-00003,P-121
SYS-00003,LT-122
SYS-00003,LT-123
SYS-00003,K-124
SYS-00003,TT-125
SYS-00003,V-126
SYS-00003,P-127
SYS-00003,V-128
SYS-00003,FCV-129
SYS-00003,E-130
SYS-00003,COL-131
SYS-00003,V-132
SYS-00003,P-133
SYS-00003,LT-134
SYS-00003,PT-135
SYS-00003,PT-136
SYS-00003,XV-137
SYS-00003,LT-138
SYS-00003,P-139
SYS-00003,COL-140
SYS-00003,LT-141
SYS-00003,XV-142
SYS-00003,LT-143
SYS-00003,K-144
SYS-00003,E-145
SYS-00003,TT-146
SYS-00003,LT-147
SYS-00003,PT-148
SYS-00003,PSV-149
SYS-00003,FCV-150
SYS-00003,LT-151
SYS-00003,FT-152
SYS-00003,LT-153
SYS-00003,FT-154
SYS-00003,P-155
SYS-00003,XV-156
SYS-00003,FCV-157
SYS-00003,COL-158
SYS-00003,LT-159
SYS-00003,LT-160
SYS-00003,PT-161
SYS-00003,XV-162
SYS-00003,K-163
SYS-00003,FCV-164
SYS-00003,V-165
SYS-00003,TT-166
SYS-00003,P-167
SYS-00003,E-168
SYS-00003,FCV-169
SYS-00003,P-170
SYS-00003,COL-171
SYS-00003,E-172
SYS-00003,FT-173
SYS-00003,V-174
SYS-00003,K-175
SYS-00003,P-176
SYS-00003,P-177
SYS-00003,XV-178
SYS-00003,FT-179
SYS-00003,P-180
SYS-00003,PT-181
SYS-00003,V-182
SYS-00003,V-183
SYS-00003,K-184
SYS-00003,PSV-185
SYS-00003,V-186
SYS-00003,XV-187
SYS-00003,PSV-188
SYS-00003,P-189
SYS-00003,PT-190
SYS-00003,XV-191
SYS-00003,XV-192
SYS-00003,K-193
SYS-00003,PSV-194
SYS-00003,COL-195
SYS-00003,XV-196
SYS-00004,TT-197
SYS-00004,V-198
SYS-00004,LT-199
SYS-00004,E-200
SYS-00004,PT-201
SYS-00004,FCV-202
SYS-00004,P-203
SYS-00004,P-204
SYS-00004,COL-205
SYS-00004,FCV-206
SYS-00004,COL-207
SYS-00004,K-208
SYS-00004,LT-209
SYS-00004,XV-210
SYS-00004,FT-211
SYS-00004,E-212
SYS-00004,FT-213
SYS-00004,V-214
SYS-00004,PT-215
SYS-00004,COL-216
SYS-00004,PT-217
SYS-00004,PT-218
SYS-00004,COL-219
SYS-00004,E-220
SYS-00004,FT-221
SYS-00004,TT-222
SYS-00004,P-223
SYS-00004,TT-224
SYS-00004,TT-225
SYS-00004,TT-226
SYS-00004,PSV-227
SYS-00004,XV-228
SYS-00004,XV-229
SYS-00004,E-230
SYS-00004,E-231
SYS-00004,PT-232
SYS-00004,V-233
SYS-00004,V-234
SYS-00004,PSV-235
SYS-00004,TT-236
SYS-00004,LT-237
SYS-00004,V-238
SYS-00004,TT-239
SYS-00004,FCV-240
SYS-00004,PSV-241
SYS-00004,LT-242
SYS-00004,PT-243
SYS-00004,FCV-244
SYS-00004,TT-245
SYS-00004,COL-246
SYS-00004,V-247
SYS-00004,E-248
SYS-00004,P-249
SYS-00004,COL-250
SYS-00004,K-251
SYS-00004,PT-252
SYS-00004,LT-253
SYS-00004,E-254
SYS-00004,V-255
SYS-00004,COL-256
SYS-00004,LT-257
SYS-00004,K-258
SYS-00004,E-259
SYS-00004,FT-260
SYS-00004,PT-261
SYS-00004,V-262
SYS-00004,COL-263
SYS-00004,LT-264
SYS-00004,PSV-265
SYS-00004,FCV-266
SYS-00004,TT-267
SYS-00004,TT-268
SYS-00004,FCV-269
SYS-00004,P-270
SYS-00004,COL-271
SYS-00004,E-272
SYS-00004,V-273
SYS-00004,FCV-274
SYS-00004,COL-275
SYS-00004,LT-276
SYS-00004,FCV-277
SYS-00004,K-278
SYS-00004,FCV-279
SYS-00004,E-280
SYS-00004,K-281
SYS-00004,V-282
SYS-00004,E-283
SYS-00004,COL-284
SYS-00005,FT-285
SYS-00005,K-286
