from,to
RA-000001,THR-004
RA-000002,THR-005
RA-000003,THR-004
RA-000004,THR-004
RA-000005,THR-001
RA-000006,THR-003
RA-000007,THR-004
RA-000008,THR-004
RA-000009,THR-003
RA-000010,THR-002
RA-000011,THR-002
RA-000012,THR-005
RA-000013,THR-003
RA-000014,THR-003
RA-000015,THR-001
RA-000016,THR-003
RA-000017,THR-001
RA-000018,THR-001
RA-000019,THR-002
RA-000020,THR-002
RA-000021,THR-005
RA-000022,THR-002
RA-000023,THR-001
RA-000024,THR-001
RA-000025,THR-004
RA-000026,THR-005
RA-000027,THR-001
RA-000028,THR-001
RA-000029,THR-005
RA-000030,THR-002
RA-000031,THR-004
RA-000032,THR-003
RA-000033,THR-002
RA-000034,THR-003
RA-000035,THR-003
RA-000036,THR-003
RA-000037,THR-005
RA-000038,THR-004
RA-000039,THR-001
RA-000040,THR-003
RA-000041,THR-003
RA-000042,THR-005
RA-000043,THR-003
RA-000044,THR-002
RA-000045,THR-004
RA-000046,THR-004
RA-000047,THR-005
RA-000048,THR-002
RA-000049,THR-004
RA-000050,THR-003
RA-000051,THR-001
RA-000052,THR-005
RA-000053,THR-004
RA-000054,THR-001
RA-000055,THR-001
RA-000056,THR-001
RA-000057,THR-003
RA-000058,THR-002
RA-000059,THR-001
RA-000060,THR-004
RA-000061,THR-004
RA-000062,THR-003
RA-000063,THR-005
RA-000064,THR-003
RA-000065,THR-002
RA-000066,THR-002
RA-000067,THR-004
RA-000068,THR-001
RA-000069,THR-003
RA-000070,THR-002
RA-000071,THR-005
RA-000072,THR-001
RA-000073,THR-002
RA-000074,THR-003
RA-000075,THR-002
RA-000076,THR-001
RA-000077,THR-002
RA-000078,THR-004
RA-000079,THR-005
RA-000080,THR-003
RA-000081,THR-004
RA-000082,THR-002
RA-000083,THR-004
RA-000084,THR-005
RA-000085,THR-001
RA-000086,THR-003
RA-000087,THR-002
RA-000088,THR-004
RA-000089,THR-001
RA-000090,THR-002
RA-000091,THR-005
RA-000092,THR-005
RA-000093,THR-004
RA-000094,THR-005
