from,to,direction
ZONE-0001,COND-0001,outbound
ZONE-0002,COND-0002,outbound
ZONE-0003,COND-0003,outbound
ZONE-0004,COND-0004,outbound
ZONE-0006,COND-0005,outbound
ZONE-0007,COND-0006,outbound
ZONE-0008,COND-0007,outbound
ZONE-0009,COND-0008,outbound
ZONE-0011,COND-0009,outbound
ZONE-0012,COND-0010,outbound
ZONE-0013,COND-0011,outbound
ZONE-0014,COND-0012,outbound
ZONE-0016,COND-0013,outbound
ZONE-0017,COND-0014,outbound
ZONE-0018,COND-0015,outbound
ZONE-0019,COND-0016,outbound
ZONE-0021,COND-0017,outbound
ZONE-0022,COND-0018,outbound
ZONE-0023,COND-0019,outbound
ZONE-0024,COND-0020,outbound
ZONE-0026,COND-0021,outbound
ZONE-0027,COND-0022,outbound
ZONE-0028,COND-0023,outbound
ZONE-0029,COND-0024,outbound
ZONE-0031,COND-0025,outbound
ZONE-0032,COND-0026,outbound
ZONE-0033,COND-0027,outbound
ZONE-0034,COND-0028,outbound
ZONE-0036,COND-0029,outbound
ZONE-0037,COND-0030,outbound
ZONE-0038,COND-0031,outbound
ZONE-0039,COND-0032,outbound
ZONE-0041,COND-0033,outbound
ZONE-0042,COND-0034,outbound
ZONE-0043,COND-0035,outbound
ZONE-0044,COND-0036,outbound
ZONE-0046,COND-0037,outbound
ZONE-0047,COND-0038,outbound
ZONE-0048,COND-0039,outbound
ZONE-0049,COND-0040,outbound
ZONE-0051,COND-0041,outbound
ZONE-0052,COND-0042,outbound
ZONE-0053,COND-0043,outbound
ZONE-0054,COND-0044,outbound
ZONE-0056,COND-0045,outbound
ZONE-0057,COND-0046,outbound
ZONE-0058,COND-0047,outbound
ZONE-0059,COND-0048,outbound
