from,to
PLANT-001,FAC-0001
PLANT-001,FAC-0002
PLANT-001,FAC-0003
PLANT-001,FAC-0004
PLANT-001,FAC-0005
PLANT-001,FAC-0006
PLANT-001,FAC-0007
PLANT-002,FAC-0008
PLANT-002,FAC-0009
PLANT-002,FAC-0010
PLANT-002,FAC-0011
PLANT-002,FAC-0012
PLANT-002,FAC-0013
PLANT-002,FAC-0014
PLANT-002,FAC-0015
PLANT-002,FAC-0016
PLANT-003,FAC-0017
PLANT-003,FAC-0018
PLANT-003,FAC-0019
PLANT-003,FAC-0020
PLANT-003,FAC-0021
PLANT-003,FAC-0022
PLANT-004,FAC-0023
PLANT-004,FAC-0024
PLANT-004,FAC-0025
PLANT-004,FAC-0026
PLANT-004,FAC-0027
PLANT-004,FAC-0028
PLANT-005,FAC-0029
PLANT-005,FAC-0030
PLANT-005,FAC-0031
PLANT-005,FAC-0032
PLANT-005,FAC-0033
PLANT-005,FAC-0034
PLANT-005,FAC-0035
PLANT-005,FAC-0036
PLANT-005,FAC-0037
PLANT-005,FAC-0038
PLANT-006,FAC-0039
PLANT-006,FAC-0040
PLANT-006,FAC-0041
PLANT-006,FAC-0042
PLANT-006,FAC-0043
PLANT-006,FAC-0044
PLANT-006,FAC-0045
PLANT-006,FAC-0046
PLANT-006,FAC-0047
PLANT-007,FAC-0048
PLANT-007,FAC-0049
PLANT-007,FAC-0050
PLANT-007,FAC-0051
PLANT-007,FAC-0052
PLANT-007,FAC-0053
PLANT-008,FAC-0054
PLANT-008,FAC-0055
PLANT-008,FAC-0056
PLANT-008,FAC-0057
PLANT-008,FAC-0058
PLANT-008,FAC-0059
PLANT-008,FAC-0060
PLANT-008,FAC-0061
PLANT-008,FAC-0062
PLANT-008,FAC-0063
PLANT-009,FAC-0064
PLANT-009,FAC-0065
PLANT-009,FAC-0066
PLANT-009,FAC-0067
PLANT-009,FAC-0068
PLANT-009,FAC-0069
PLANT-009,FAC-0070
PLANT-010,FAC-0071
PLANT-010,FAC-0072
PLANT-010,FAC-0073
PLANT-010,FAC-0074
PLANT-010,FAC-0075
PLANT-010,FAC-0076
PLANT-010,FAC-0077
PLANT-011,FAC-0078
PLANT-011,FAC-0079
PLANT-011,FAC-0080
PLANT-011,FAC-0081
PLANT-011,FAC-0082
PLANT-011,FAC-0083
PLANT-011,FAC-0084
PLANT-011,FAC-0085
PLANT-011,FAC-0086
PLANT-012,FAC-0087
PLANT-012,FAC-0088
PLANT-012,FAC-0089
PLANT-012,FAC-0090
PLANT-012,FAC-0091
PLANT-012,FAC-0092
PLANT-012,FAC-0093
PLANT-012,FAC-0094
PLANT-012,FAC-0095
PLANT-012,FAC-0096
