from,to
TT-1,OTA-000001
FCV-9,OTA-000002
TT-10,OTA-000003
TT-11,OTA-000004
FCV-20,OTA-000005
FCV-21,OTA-000006
LT-26,OTA-000007
FCV-28,OTA-000008
TT-31,OTA-000009
TT-32,OTA-000010
FT-34,OTA-000011
TT-42,OTA-000012
PT-46,OTA-000013
FT-48,OTA-000014
PT-50,OTA-000015
TT-52,OTA-000016
PT-53,OTA-000017
TT-54,OTA-000018
FCV-55,OTA-000019
LT-59,OTA-000020
PT-61,OTA-000021
PT-65,OTA-000022
FT-69,OTA-000023
PT-70,OTA-000024
TT-71,OTA-000025
LT-72,OTA-000026
TT-74,OTA-000027
FT-75,OTA-000028
FT-77,OTA-000029
FT-79,OTA-000030
TT-81,OTA-000031
FT-82,OTA-000032
FT-83,OTA-000033
LT-84,OTA-000034
FT-85,OTA-000035
PT-89,OTA-000036
FCV-94,OTA-000037
FT-97,OTA-000038
TT-100,OTA-000039
FCV-103,OTA-000040
PT-104,OTA-000041
FT-105,OTA-000042
FT-108,OTA-000043
LT-113,OTA-000044
FT-114,OTA-000045
FCV-115,OTA-000046
TT-120,OTA-000047
LT-122,OTA-000048
LT-123,OTA-000049
TT-125,OTA-000050
FCV-129,OTA-000051
LT-134,OTA-000052
PT-135,OTA-000053
PT-136,OTA-000054
LT-138,OTA-000055
LT-141,OTA-000056
LT-143,OTA-000057
TT-146,OTA-000058
LT-147,OTA-000059
PT-148,OTA-000060
FCV-150,OTA-000061
LT-151,OTA-000062
FT-152,OTA-000063
LT-153,OTA-000064
FT-154,OTA-000065
FCV-157,OTA-000066
LT-159,OTA-000067
LT-160,OTA-000068
PT-161,OTA-000069
FCV-164,OTA-000070
TT-166,OTA-000071
FCV-169,OTA-000072
FT-173,OTA-000073
FT-179,OTA-000074
PT-181,OTA-000075
PT-190,OTA-000076
TT-197,OTA-000077
LT-199,OTA-000078
PT-201,OTA-000079
FCV-202,OTA-000080
FCV-206,OTA-000081
LT-209,OTA-000082
FT-211,OTA-000083
FT-213,OTA-000084
PT-215,OTA-000085
PT-217,OTA-000086
PT-218,OTA-000087
FT-221,OTA-000088
TT-222,OTA-000089
TT-224,OTA-000090
TT-225,OTA-000091
TT-226,OTA-000092
PT-232,OTA-000093
TT-236,OTA-000094
LT-237,OTA-000095
TT-239,OTA-000096
FCV-240,OTA-000097
LT-242,OTA-000098
PT-243,OTA-000099
FCV-244,OTA-000100
TT-245,OTA-000101
PT-252,OTA-000102
LT-253,OTA-000103
LT-257,OTA-000104
FT-260,OTA-000105
PT-261,OTA-000106
LT-264,OTA-000107
FCV-266,OTA-000108
TT-267,OTA-000109
TT-268,OTA-000110
FCV-269,OTA-000111
FCV-274,OTA-000112
LT-276,OTA-000113
FCV-277,OTA-000114
FCV-279,OTA-000115
FT-285,OTA-000116
FT-293,OTA-000117
TT-296,OTA-000118
FCV-298,OTA-000119
TT-300,OTA-000120
TT-306,OTA-000121
PT-309,OTA-000122
FT-311,OTA-000123
LT-314,OTA-000124
LT-320,OTA-000125
PT-321,OTA-000126
FT-324,OTA-000127
LT-327,OTA-000128
PT-333,OTA-000129
PT-334,OTA-000130
FT-338,OTA-000131
FT-340,OTA-000132
FT-343,OTA-000133
PT-347,OTA-000134
PT-348,OTA-000135
PT-350,OTA-000136
FT-351,OTA-000137
PT-352,OTA-000138
FCV-357,OTA-000139
LT-362,OTA-000140
LT-363,OTA-000141
FCV-369,OTA-000142
PT-370,OTA-000143
FT-374,OTA-000144
TT-377,OTA-000145
FT-378,OTA-000146
LT-381,OTA-000147
PT-382,OTA-000148
PT-389,OTA-000149
PT-392,OTA-000150
