from,to
FAC-0001,SYS-00001
FAC-0001,SYS-00002
FAC-0001,SYS-00003
FAC-0001,SYS-00004
FAC-0001,SYS-00005
FAC-0001,SYS-00006
FAC-0001,SYS-00007
FAC-0002,SYS-00008
FAC-0002,SYS-00009
FAC-0002,SYS-00010
FAC-0002,SYS-00011
FAC-0002,SYS-00012
FAC-0002,SYS-00013
FAC-0002,SYS-00014
FAC-0003,SYS-00015
FAC-0003,SYS-00016
FAC-0003,SYS-00017
FAC-0003,SYS-00018
FAC-0003,SYS-00019
FAC-0003,SYS-00020
FAC-0003,SYS-00021
FAC-0004,SYS-00022
FAC-0004,SYS-00023
FAC-0004,SYS-00024
FAC-0004,SYS-00025
FAC-0004,SYS-00026
FAC-0005,SYS-00027
FAC-0005,SYS-00028
FAC-0005,SYS-00029
FAC-0005,SYS-00030
FAC-0006,SYS-00031
FAC-0006,SYS-00032
FAC-0006,SYS-00033
FAC-0006,SYS-00034
FAC-0006,SYS-00035
FAC-0006,SYS-00036
FAC-0006,SYS-00037
FAC-0006,SYS-00038
FAC-0007,SYS-00039
FAC-0007,SYS-00040
FAC-0007,SYS-00041
FAC-0007,SYS-00042
FAC-0007,SYS-00043
FAC-0007,SYS-00044
FAC-0007,SYS-00045
FAC-0008,SYS-00046
FAC-0008,SYS-00047
FAC-0008,SYS-00048
FAC-0008,SYS-00049
FAC-0008,SYS-00050
FAC-0008,SYS-00051
FAC-0009,SYS-00052
FAC-0009,SYS-00053
FAC-0009,SYS-00054
FAC-0009,SYS-00055
FAC-0009,SYS-00056
FAC-0010,SYS-00057
FAC-0010,SYS-00058
FAC-0010,SYS-00059
FAC-0010,SYS-00060
FAC-0011,SYS-00061
FAC-0011,SYS-00062
FAC-0011,SYS-00063
FAC-0011,SYS-00064
FAC-0011,SYS-00065
FAC-0011,SYS-00066
FAC-0011,SYS-00067
FAC-0011,SYS-00068
FAC-0012,SYS-00069
FAC-0012,SYS-00070
FAC-0012,SYS-00071
FAC-0012,SYS-00072
FAC-0012,SYS-00073
FAC-0012,SYS-00074
FAC-0012,SYS-00075
FAC-0012,SYS-00076
FAC-0013,SYS-00077
FAC-0013,SYS-00078
FAC-0013,SYS-00079
FAC-0013,SYS-00080
FAC-0013,SYS-00081
FAC-0014,SYS-00082
FAC-0014,SYS-00083
FAC-0014,SYS-00084
FAC-0014,SYS-00085
FAC-0014,SYS-00086
FAC-0014,SYS-00087
FAC-0015,SYS-00088
FAC-0015,SYS-00089
FAC-0015,SYS-00090
FAC-0015,SYS-00091
FAC-0015,SYS-00092
FAC-0015,SYS-00093
FAC-0015,SYS-00094
FAC-0015,SYS-00095
FAC-0016,SYS-00096
FAC-0016,SYS-00097
FAC-0016,SYS-00098
FAC-0016,SYS-00099
FAC-0016,SYS-00100
FAC-0017,SYS-00101
FAC-0017,SYS-00102
FAC-0017,SYS-00103
FAC-0017,SYS-00104
FAC-0017,SYS-00105
FAC-0017,SYS-00106
FAC-0018,SYS-00107
FAC-0018,SYS-00108
FAC-0018,SYS-00109
FAC-0018,SYS-00110
FAC-0019,SYS-00111
FAC-0019,SYS-00112
FAC-0019,SYS-00113
FAC-0019,SYS-00114
FAC-0019,SYS-00115
FAC-0019,SYS-00116
FAC-0019,SYS-00117
FAC-0019,SYS-00118
FAC-0020,SYS-00119
FAC-0020,SYS-00120
FAC-0020,SYS-00121
FAC-0020,SYS-00122
FAC-0020,SYS-00123
FAC-0020,SYS-00124
FAC-0021,SYS-00125
FAC-0021,SYS-00126
FAC-0021,SYS-00127
FAC-0021,SYS-00128
FAC-0021,SYS-00129
FAC-0021,SYS-00130
FAC-0021,SYS-00131
FAC-0022,SYS-00132
FAC-0022,SYS-00133
FAC-0022,SYS-00134
FAC-0022,SYS-00135
FAC-0022,SYS-00136
FAC-0022,SYS-00137
FAC-0022,SYS-00138
FAC-0023,SYS-00139
FAC-0023,SYS-00140
FAC-0023,SYS-00141
FAC-0023,SYS-00142
FAC-0023,SYS-00143
FAC-0023,SYS-00144
FAC-0024,SYS-00145
FAC-0024,SYS-00146
FAC-0024,SYS-00147
FAC-0024,SYS-00148
FAC-0024,SYS-00149
FAC-0024,SYS-00150
FAC-0025,SYS-00151
FAC-0025,SYS-00152
FAC-0025,SYS-00153
FAC-0025,SYS-00154
FAC-0026,SYS-00155
FAC-0026,SYS-00156
FAC-0026,SYS-00157
FAC-0026,SYS-00158
FAC-0026,SYS-00159
FAC-0027,SYS-00160
FAC-0027,SYS-00161
FAC-0027,SYS-00162
FAC-0027,SYS-00163
FAC-0027,SYS-00164
FAC-0028,SYS-00165
FAC-0028,SYS-00166
FAC-0028,SYS-00167
FAC-0028,SYS-00168
FAC-0029,SYS-00169
FAC-0029,SYS-00170
FAC-0029,SYS-00171
FAC-0029,SYS-00172
FAC-0029,SYS-00173
FAC-0030,SYS-00174
FAC-0030,SYS-00175
FAC-0030,SYS-00176
FAC-0030,SYS-00177
FAC-0030,SYS-00178
FAC-0031,SYS-00179
FAC-0031,SYS-00180
FAC-0031,SYS-00181
FAC-0031,SYS-00182
FAC-0032,SYS-00183
FAC-0032,SYS-00184
FAC-0032,SYS-00185
FAC-0032,SYS-00186
FAC-0032,SYS-00187
FAC-0032,SYS-00188
FAC-0032,SYS-00189
FAC-0032,SYS-00190
FAC-0033,SYS-00191
FAC-0033,SYS-00192
FAC-0033,SYS-00193
FAC-0033,SYS-00194
FAC-0034,SYS-00195
FAC-0034,SYS-00196
FAC-0034,SYS-00197
FAC-0034,SYS-00198
FAC-0034,SYS-00199
FAC-0034,SYS-00200
FAC-0035,SYS-00201
FAC-0035,SYS-00202
FAC-0035,SYS-00203
FAC-0035,SYS-00204
FAC-0035,SYS-00205
FAC-0035,SYS-00206
FAC-0036,SYS-00207
FAC-0036,SYS-00208
FAC-0036,SYS-00209
FAC-0036,SYS-00210
FAC-0036,SYS-00211
FAC-0036,SYS-00212
FAC-0037,SYS-00213
FAC-0037,SYS-00214
FAC-0037,SYS-00215
FAC-0037,SYS-00216
FAC-0037,SYS-00217
FAC-0037,SYS-00218
FAC-0038,SYS-00219
FAC-0038,SYS-00220
FAC-0038,SYS-00221
FAC-0038,SYS-00222
FAC-0038,SYS-00223
FAC-0038,SYS-00224
FAC-0038,SYS-00225
FAC-0038,SYS-00226
FAC-0039,SYS-00227
FAC-0039,SYS-00228
FAC-0039,SYS-00229
FAC-0039,SYS-00230
FAC-0039,SYS-00231
FAC-0039,SYS-00232
FAC-0039,SYS-00233
FAC-0039,SYS-00234
FAC-0040,SYS-00235
FAC-0040,SYS-00236
FAC-0040,SYS-00237
FAC-0040,SYS-00238
FAC-0040,SYS-00239
FAC-0040,SYS-00240
FAC-0040,SYS-00241
FAC-0041,SYS-00242
FAC-0041,SYS-00243
FAC-0041,SYS-00244
FAC-0041,SYS-00245
FAC-0041,SYS-00246
FAC-0041,SYS-00247
FAC-0042,SYS-00248
FAC-0042,SYS-00249
FAC-0042,SYS-00250
FAC-0042,SYS-00251
FAC-0042,SYS-00252
FAC-0043,SYS-00253
FAC-0043,SYS-00254
FAC-0043,SYS-00255
FAC-0043,SYS-00256
FAC-0043,SYS-00257
FAC-0043,SYS-00258
FAC-0043,SYS-00259
FAC-0044,SYS-00260
FAC-0044,SYS-00261
FAC-0044,SYS-00262
FAC-0044,SYS-00263
FAC-0044,SYS-00264
FAC-0044,SYS-00265
FAC-0044,SYS-00266
FAC-0045,SYS-00267
FAC-0045,SYS-00268
FAC-0045,SYS-00269
FAC-0045,SYS-00270
FAC-0045,SYS-00271
FAC-0045,SYS-00272
FAC-0045,SYS-00273
FAC-0046,SYS-00274
FAC-0046,SYS-00275
FAC-0046,SYS-00276
FAC-0046,SYS-00277
FAC-0046,SYS-00278
FAC-0046,SYS-00279
FAC-0046,SYS-00280
FAC-0047,SYS-00281
FAC-0047,SYS-00282
FAC-0047,SYS-00283
FAC-0047,SYS-00284
FAC-0047,SYS-00285
FAC-0047,SYS-00286
FAC-0047,SYS-00287
FAC-0047,SYS-00288
FAC-0048,SYS-00289
FAC-0048,SYS-00290
FAC-0048,SYS-00291
FAC-0048,SYS-00292
FAC-0048,SYS-00293
FAC-0048,SYS-00294
FAC-0048,SYS-00295
FAC-0049,SYS-00296
FAC-0049,SYS-00297
FAC-0049,SYS-00298
FAC-0049,SYS-00299
FAC-0049,SYS-00300
FAC-0049,SYS-00301
FAC-0050,SYS-00302
FAC-0050,SYS-00303
FAC-0050,SYS-00304
FAC-0050,SYS-00305
FAC-0050,SYS-00306
FAC-0050,SYS-00307
FAC-0050,SYS-00308
FAC-0051,SYS-00309
FAC-0051,SYS-00310
FAC-0051,SYS-00311
FAC-0051,SYS-00312
FAC-0051,SYS-00313
FAC-0051,SYS-00314
FAC-0051,SYS-00315
FAC-0052,SYS-00316
FAC-0052,SYS-00317
FAC-0052,SYS-00318
FAC-0052,SYS-00319
FAC-0052,SYS-00320
FAC-0052,SYS-00321
FAC-0052,SYS-00322
FAC-0053,SYS-00323
FAC-0053,SYS-00324
FAC-0053,SYS-00325
FAC-0053,SYS-00326
FAC-0053,SYS-00327
FAC-0053,SYS-00328
FAC-0053,SYS-00329
FAC-0054,SYS-00330
FAC-0054,SYS-00331
FAC-0054,SYS-00332
FAC-0054,SYS-00333
FAC-0054,SYS-00334
FAC-0054,SYS-00335
FAC-0054,SYS-00336
FAC-0055,SYS-00337
FAC-0055,SYS-00338
FAC-0055,SYS-00339
FAC-0055,SYS-00340
FAC-0055,SYS-00341
FAC-0055,SYS-00342
FAC-0055,SYS-00343
FAC-0055,SYS-00344
FAC-0056,SYS-00345
FAC-0056,SYS-00346
FAC-0056,SYS-00347
FAC-0056,SYS-00348
FAC-0057,SYS-00349
FAC-0057,SYS-00350
FAC-0057,SYS-00351
FAC-0057,SYS-00352
FAC-0057,SYS-00353
FAC-0057,SYS-00354
FAC-0057,SYS-00355
FAC-0058,SYS-00356
FAC-0058,SYS-00357
FAC-0058,SYS-00358
FAC-0058,SYS-00359
FAC-0058,SYS-00360
FAC-0058,SYS-00361
FAC-0058,SYS-00362
FAC-0059,SYS-00363
FAC-0059,SYS-00364
FAC-0059,SYS-00365
FAC-0059,SYS-00366
FAC-0060,SYS-00367
FAC-0060,SYS-00368
FAC-0060,SYS-00369
FAC-0060,SYS-00370
FAC-0060,SYS-00371
FAC-0061,SYS-00372
FAC-0061,SYS-00373
FAC-0061,SYS-00374
FAC-0061,SYS-00375
FAC-0061,SYS-00376
FAC-0061,SYS-00377
FAC-0061,SYS-00378
FAC-0061,SYS-00379
FAC-0062,SYS-00380
FAC-0062,SYS-00381
FAC-0062,SYS-00382
FAC-0062,SYS-00383
FAC-0062,SYS-00384
FAC-0062,SYS-00385
FAC-0063,SYS-00386
FAC-0063,SYS-00387
FAC-0063,SYS-00388
