from,to
TPV-0000001,UOM-BARG
TPV-0000003,UOM-BARG
TPV-0000006,UOM-BARG
TPV-0000007,UOM-DEGC
TPV-0000008,UOM-M3H
TPV-0000009,UOM-BARG
TPV-0000011,UOM-BARG
TPV-0000012,UOM-DEGC
TPV-0000013,UOM-BARG
TPV-0000015,UOM-KG
TPV-0000016,UOM-KW
TPV-0000017,UOM-M3H
TPV-0000019,UOM-M3H
TPV-0000020,UOM-BARG
TPV-0000021,UOM-BARG
TPV-0000022,UOM-DEGC
TPV-0000023,UOM-MM
TPV-0000024,UOM-KW
TPV-0000025,UOM-KG
TPV-0000026,UOM-M3H
TPV-0000027,UOM-BARG
TPV-0000029,UOM-BARG
TPV-0000031,UOM-BARG
TPV-0000032,UOM-BARG
TPV-0000033,UOM-KW
TPV-0000034,UOM-BARG
TPV-0000036,UOM-M3H
TPV-0000037,UOM-DEGC
TPV-0000038,UOM-MM
TPV-0000039,UOM-DEGC
TPV-0000041,UOM-DEGC
TPV-0000042,UOM-BARG
TPV-0000043,UOM-KG
TPV-0000044,UOM-KW
TPV-0000047,UOM-BARG
TPV-0000048,UOM-BARG
TPV-0000049,UOM-BARG
TPV-0000050,UOM-M3H
TPV-0000051,UOM-KW
TPV-0000054,UOM-BARG
TPV-0000055,UOM-M3H
TPV-0000056,UOM-BARG
TPV-0000058,UOM-BARG
TPV-0000059,UOM-BARG
TPV-0000060,UOM-DEGC
TPV-0000062,UOM-BARG
TPV-0000063,UOM-BARG
TPV-0000064,UOM-M3H
TPV-0000065,UOM-DEGC
TPV-0000066,UOM-BARG
TPV-0000067,UOM-M3H
TPV-0000068,UOM-DEGC
TPV-0000069,UOM-KW
TPV-0000070,UOM-BARG
TPV-0000071,UOM-BARG
TPV-0000072,UOM-BARG
TPV-0000073,UOM-BARG
TPV-0000074,UOM-MM
TPV-0000075,UOM-BARG
TPV-0000076,UOM-MM
TPV-0000079,UOM-BARG
TPV-0000080,UOM-DEGC
TPV-0000081,UOM-M3H
TPV-0000082,UOM-BARG
