from,to,reportingDeadlineHours
INC-000001,CF-NIS2,24
INC-000004,CF-NIS2,24
INC-000006,CF-NIS2,24
INC-000010,CF-NIS2,24
INC-000011,CF-NIS2,24
INC-000013,CF-NIS2,24
INC-000015,CF-NIS2,24
INC-000016,CF-NIS2,24
INC-000017,CF-NIS2,24
INC-000019,CF-NIS2,24
INC-000020,CF-NIS2,24
INC-000023,CF-NIS2,24
INC-000024,CF-NIS2,24
INC-000026,CF-NIS2,24
INC-000030,CF-NIS2,24
INC-000031,CF-NIS2,24
INC-000032,CF-NIS2,24
INC-000037,CF-NIS2,24
INC-000039,CF-NIS2,24
INC-000045,CF-NIS2,24
INC-000046,CF-NIS2,24
INC-000047,CF-NIS2,24
INC-000048,CF-NIS2,24
INC-000051,CF-NIS2,24
INC-000052,CF-NIS2,24
INC-000053,CF-NIS2,24
INC-000055,CF-NIS2,24
INC-000056,CF-NIS2,24
INC-000059,CF-NIS2,24
INC-000061,CF-NIS2,24
INC-000062,CF-NIS2,24
INC-000063,CF-NIS2,24
INC-000065,CF-NIS2,24
INC-000066,CF-NIS2,24
INC-000069,CF-NIS2,24
INC-000071,CF-NIS2,24
INC-000072,CF-NIS2,24
INC-000073,CF-NIS2,24
INC-000074,CF-NIS2,24
INC-000075,CF-NIS2,24
INC-000076,CF-NIS2,24
INC-000077,CF-NIS2,24
INC-000080,CF-NIS2,24
INC-000083,CF-NIS2,24
INC-000085,CF-NIS2,24
INC-000086,CF-NIS2,24
INC-000088,CF-NIS2,24
INC-000091,CF-NIS2,24
INC-000094,CF-NIS2,24
INC-000095,CF-NIS2,24
INC-000097,CF-NIS2,24
INC-000099,CF-NIS2,24
INC-000100,CF-NIS2,24
INC-000101,CF-NIS2,24
INC-000105,CF-NIS2,24
INC-000110,CF-NIS2,24
INC-000112,CF-NIS2,24
INC-000113,CF-NIS2,24
INC-000116,CF-NIS2,24
INC-000119,CF-NIS2,24
INC-000125,CF-NIS2,24
INC-000126,CF-NIS2,24
INC-000131,CF-NIS2,24
INC-000132,CF-NIS2,24
INC-000133,CF-NIS2,24
INC-000135,CF-NIS2,24
INC-000139,CF-NIS2,24
INC-000140,CF-NIS2,24
INC-000142,CF-NIS2,24
INC-000143,CF-NIS2,24
INC-000147,CF-NIS2,24
INC-000150,CF-NIS2,24
INC-000155,CF-NIS2,24
INC-000156,CF-NIS2,24
INC-000158,CF-NIS2,24
INC-000160,CF-NIS2,24
INC-000163,CF-NIS2,24
INC-000166,CF-NIS2,24
INC-000167,CF-NIS2,24
INC-000168,CF-NIS2,24
INC-000169,CF-NIS2,24
INC-000170,CF-NIS2,24
INC-000172,CF-NIS2,24
INC-000174,CF-NIS2,24
INC-000177,CF-NIS2,24
INC-000178,CF-NIS2,24
INC-000181,CF-NIS2,24
INC-000182,CF-NIS2,24
INC-000183,CF-NIS2,24
INC-000185,CF-NIS2,24
INC-000186,CF-NIS2,24
INC-000189,CF-NIS2,24
INC-000190,CF-NIS2,24
INC-000192,CF-NIS2,24
INC-000193,CF-NIS2,24
INC-000194,CF-NIS2,24
INC-000202,CF-NIS2,24
INC-000204,CF-NIS2,24
INC-000207,CF-NIS2,24
INC-000208,CF-NIS2,24
INC-000209,CF-NIS2,24
INC-000212,CF-NIS2,24
INC-000213,CF-NIS2,24
INC-000214,CF-NIS2,24
INC-000218,CF-NIS2,24
INC-000219,CF-NIS2,24
INC-000220,CF-NIS2,24
INC-000223,CF-NIS2,24
INC-000225,CF-NIS2,24
INC-000226,CF-NIS2,24
INC-000232,CF-NIS2,24
INC-000234,CF-NIS2,24
INC-000237,CF-NIS2,24
INC-000238,CF-NIS2,24
INC-000239,CF-NIS2,24
INC-000240,CF-NIS2,24
INC-000241,CF-NIS2,24
INC-000242,CF-NIS2,24
INC-000243,CF-NIS2,24
INC-000244,CF-NIS2,24
INC-000245,CF-NIS2,24
INC-000246,CF-NIS2,24
INC-000248,CF-NIS2,24
INC-000253,CF-NIS2,24
INC-000257,CF-NIS2,24
INC-000258,CF-NIS2,24
INC-000259,CF-NIS2,24
INC-000260,CF-NIS2,24
INC-000261,CF-NIS2,24
INC-000262,CF-NIS2,24
INC-000263,CF-NIS2,24
INC-000264,CF-NIS2,24
INC-000266,CF-NIS2,24
INC-000270,CF-NIS2,24
INC-000273,CF-NIS2,24
INC-000275,CF-NIS2,24
INC-000279,CF-NIS2,24
INC-000280,CF-NIS2,24
INC-000281,CF-NIS2,24
INC-000283,CF-NIS2,24
INC-000284,CF-NIS2,24
INC-000285,CF-NIS2,24
INC-000286,CF-NIS2,24
INC-000289,CF-NIS2,24
INC-000290,CF-NIS2,24
INC-000291,CF-NIS2,24
INC-000293,CF-NIS2,24
INC-000295,CF-NIS2,24
INC-000296,CF-NIS2,24
INC-000298,CF-NIS2,24
INC-000300,CF-NIS2,24
INC-000301,CF-NIS2,24
INC-000306,CF-NIS2,24
INC-000309,CF-NIS2,24
INC-000310,CF-NIS2,24
INC-000311,CF-NIS2,24
INC-000315,CF-NIS2,24
INC-000316,CF-NIS2,24
INC-000326,CF-NIS2,24
INC-000327,CF-NIS2,24
INC-000329,CF-NIS2,24
INC-000330,CF-NIS2,24
INC-000331,CF-NIS2,24
INC-000332,CF-NIS2,24
INC-000335,CF-NIS2,24
INC-000338,CF-NIS2,24
INC-000339,CF-NIS2,24
INC-000345,CF-NIS2,24
INC-000347,CF-NIS2,24
INC-000348,CF-NIS2,24
INC-000349,CF-NIS2,24
INC-000350,CF-NIS2,24
INC-000351,CF-NIS2,24
INC-000352,CF-NIS2,24
INC-000354,CF-NIS2,24
INC-000357,CF-NIS2,24
INC-000360,CF-NIS2,24
INC-000363,CF-NIS2,24
INC-000367,CF-NIS2,24
INC-000368,CF-NIS2,24
INC-000369,CF-NIS2,24
INC-000370,CF-NIS2,24
INC-000371,CF-NIS2,24
INC-000373,CF-NIS2,24
INC-000376,CF-NIS2,24
INC-000377,CF-NIS2,24
INC-000378,CF-NIS2,24
INC-000379,CF-NIS2,24
INC-000380,CF-NIS2,24
INC-000381,CF-NIS2,24
INC-000382,CF-NIS2,24
INC-000386,CF-NIS2,24
INC-000389,CF-NIS2,24
INC-000393,CF-NIS2,24
INC-000394,CF-NIS2,24
INC-000396,CF-NIS2,24
INC-000397,CF-NIS2,24
INC-000398,CF-NIS2,24
INC-000399,CF-NIS2,24
INC-000400,CF-NIS2,24
INC-000401,CF-NIS2,24
INC-000403,CF-NIS2,24
INC-000404,CF-NIS2,24
INC-000405,CF-NIS2,24
INC-000406,CF-NIS2,24
INC-000410,CF-NIS2,24
INC-000417,CF-NIS2,24
INC-000420,CF-NIS2,24
INC-000426,CF-NIS2,24
INC-000427,CF-NIS2,24
INC-000429,CF-NIS2,24
INC-000434,CF-NIS2,24
INC-000436,CF-NIS2,24
INC-000438,CF-NIS2,24
INC-000439,CF-NIS2,24
INC-000443,CF-NIS2,24
INC-000445,CF-NIS2,24
