from,to
TPV-0000001,PROP-003
TPV-0000002,PROP-007
TPV-0000003,PROP-001
TPV-0000004,PROP-010
TPV-0000005,PROP-007
TPV-0000006,PROP-003
TPV-0000007,PROP-002
TPV-0000008,PROP-005
TPV-0000009,PROP-001
TPV-0000010,PROP-007
TPV-0000011,PROP-012
TPV-0000012,PROP-002
TPV-0000013,PROP-001
TPV-0000014,PROP-007
TPV-0000015,PROP-011
TPV-0000016,PROP-006
TPV-0000017,PROP-005
TPV-0000018,PROP-010
TPV-0000019,PROP-005
TPV-0000020,PROP-001
TPV-0000021,PROP-003
TPV-0000022,PROP-004
TPV-0000023,PROP-008
TPV-0000024,PROP-006
TPV-0000025,PROP-011
TPV-0000026,PROP-005
TPV-0000027,PROP-012
TPV-0000028,PROP-007
TPV-0000029,PROP-003
TPV-0000030,PROP-007
TPV-0000031,PROP-003
TPV-0000032,PROP-001
TPV-0000033,PROP-006
TPV-0000034,PROP-003
TPV-0000035,PROP-007
TPV-0000036,PROP-005
TPV-0000037,PROP-002
TPV-0000038,PROP-008
TPV-0000039,PROP-004
TPV-0000040,PROP-007
TPV-0000041,PROP-002
TPV-0000042,PROP-003
TPV-0000043,PROP-011
TPV-0000044,PROP-006
TPV-0000045,PROP-007
TPV-0000046,PROP-009
TPV-0000047,PROP-001
TPV-0000048,PROP-003
TPV-0000049,PROP-012
TPV-0000050,PROP-005
TPV-0000051,PROP-006
TPV-0000052,PROP-009
TPV-0000053,PROP-010
TPV-0000054,PROP-003
TPV-0000055,PROP-005
TPV-0000056,PROP-001
TPV-0000057,PROP-009
TPV-0000058,PROP-013
TPV-0000059,PROP-012
TPV-0000060,PROP-004
TPV-0000061,PROP-007
TPV-0000062,PROP-013
TPV-0000063,PROP-001
TPV-0000064,PROP-005
TPV-0000065,PROP-004
TPV-0000066,PROP-012
TPV-0000067,PROP-005
TPV-0000068,PROP-002
TPV-0000069,PROP-006
TPV-0000070,PROP-001
TPV-0000071,PROP-013
TPV-0000072,PROP-003
TPV-0000073,PROP-003
TPV-0000074,PROP-008
TPV-0000075,PROP-001
TPV-0000076,PROP-008
TPV-0000077,PROP-010
TPV-0000078,PROP-007
TPV-0000079,PROP-001
TPV-0000080,PROP-002
TPV-0000081,PROP-005
TPV-0000082,PROP-001
TPV-0000083,PROP-012
TPV-0000084,PROP-006
TPV-0000085,PROP-007
TPV-0000086,PROP-007
TPV-0000087,PROP-012
TPV-0000088,PROP-004
TPV-0000089,PROP-010
TPV-0000090,PROP-002
TPV-0000091,PROP-005
TPV-0000092,PROP-006
TPV-0000093,PROP-003
TPV-0000094,PROP-009
TPV-0000095,PROP-007
TPV-0000096,PROP-013
TPV-0000097,PROP-012
TPV-0000098,PROP-012
TPV-0000099,PROP-011
TPV-0000100,PROP-008
TPV-0000101,PROP-009
TPV-0000102,PROP-002
TPV-0000103,PROP-007
TPV-0000104,PROP-010
TPV-0000105,PROP-009
TPV-0000106,PROP-008
TPV-0000107,PROP-006
TPV-0000108,PROP-012
TPV-0000109,PROP-008
TPV-0000110,PROP-007
TPV-0000111,PROP-005
TPV-0000112,PROP-012
TPV-0000113,PROP-010
TPV-0000114,PROP-008
TPV-0000115,PROP-008
TPV-0000116,PROP-003
TPV-0000117,PROP-009
TPV-0000118,PROP-010
TPV-0000119,PROP-004
TPV-0000120,PROP-003
TPV-0000121,PROP-002
TPV-0000122,PROP-008
TPV-0000123,PROP-005
TPV-0000124,PROP-013
TPV-0000125,PROP-011
TPV-0000126,PROP-003
TPV-0000127,PROP-007
TPV-0000128,PROP-013
TPV-0000129,PROP-008
TPV-0000130,PROP-002
TPV-0000131,PROP-003
TPV-0000132,PROP-001
TPV-0000133,PROP-013
TPV-0000134,PROP-002
TPV-0000135,PROP-008
TPV-0000136,PROP-004
TPV-0000137,PROP-013
TPV-0000138,PROP-008
TPV-0000139,PROP-001
TPV-0000140,PROP-010
TPV-0000141,PROP-008
TPV-0000142,PROP-009
TPV-0000143,PROP-003
TPV-0000144,PROP-011
TPV-0000145,PROP-011
TPV-0000146,PROP-003
TPV-0000147,PROP-001
TPV-0000148,PROP-008
TPV-0000149,PROP-010
TPV-0000150,PROP-004
TPV-0000151,PROP-008
TPV-0000152,PROP-001
TPV-0000153,PROP-010
TPV-0000154,PROP-011
TPV-0000155,PROP-001
TPV-0000156,PROP-005
TPV-0000157,PROP-013
TPV-0000158,PROP-001
TPV-0000159,PROP-011
TPV-0000160,PROP-008
TPV-0000161,PROP-003
TPV-0000162,PROP-013
TPV-0000163,PROP-007
TPV-0000164,PROP-006
TPV-0000165,PROP-005
TPV-0000166,PROP-005
TPV-0000167,PROP-008
TPV-0000168,PROP-006
TPV-0000169,PROP-001
TPV-0000170,PROP-005
TPV-0000171,PROP-011
TPV-0000172,PROP-004
TPV-0000173,PROP-003
TPV-0000174,PROP-002
TPV-0000175,PROP-013
TPV-0000176,PROP-008
TPV-0000177,PROP-010
TPV-0000178,PROP-011
TPV-0000179,PROP-001
TPV-0000180,PROP-012
TPV-0000181,PROP-006
TPV-0000182,PROP-004
TPV-0000183,PROP-002
TPV-0000184,PROP-001
TPV-0000185,PROP-011
TPV-0000186,PROP-001
TPV-0000187,PROP-006
TPV-0000188,PROP-010
TPV-0000189,PROP-005
TPV-0000190,PROP-009
TPV-0000191,PROP-006
TPV-0000192,PROP-011
TPV-0000193,PROP-005
TPV-0000194,PROP-007
TPV-0000195,PROP-006
TPV-0000196,PROP-005
TPV-0000197,PROP-010
TPV-0000198,PROP-012
TPV-0000199,PROP-004
TPV-0000200,PROP-005
TPV-0000201,PROP-010
TPV-0000202,PROP-012
TPV-0000203,PROP-003
TPV-0000204,PROP-007
TPV-0000205,PROP-007
TPV-0000206,PROP-012
TPV-0000207,PROP-010
TPV-0000208,PROP-005
TPV-0000209,PROP-010
TPV-0000210,PROP-013
TPV-0000211,PROP-008
TPV-0000212,PROP-011
TPV-0000213,PROP-011
TPV-0000214,PROP-001
TPV-0000215,PROP-008
TPV-0000216,PROP-003
TPV-0000217,PROP-008
TPV-0000218,PROP-004
TPV-0000219,PROP-003
TPV-0000220,PROP-001
TPV-0000221,PROP-004
TPV-0000222,PROP-011
TPV-0000223,PROP-012
TPV-0000224,PROP-007
TPV-0000225,PROP-006
TPV-0000226,PROP-012
TPV-0000227,PROP-010
TPV-0000228,PROP-004
TPV-0000229,PROP-005
TPV-0000230,PROP-004
TPV-0000231,PROP-001
TPV-0000232,PROP-003
TPV-0000233,PROP-012
TPV-0000234,PROP-005
TPV-0000235,PROP-008
TPV-0000236,PROP-009
TPV-0000237,PROP-011
TPV-0000238,PROP-004
TPV-0000239,PROP-011
TPV-0000240,PROP-005
TPV-0000241,PROP-010
TPV-0000242,PROP-004
TPV-0000243,PROP-008
TPV-0000244,PROP-005
TPV-0000245,PROP-011
TPV-0000246,PROP-004
TPV-0000247,PROP-008
TPV-0000248,PROP-008
TPV-0000249,PROP-001
TPV-0000250,PROP-011
TPV-0000251,PROP-012
TPV-0000252,PROP-004
TPV-0000253,PROP-011
TPV-0000254,PROP-004
TPV-0000255,PROP-012
TPV-0000256,PROP-001
TPV-0000257,PROP-007
TPV-0000258,PROP-010
TPV-0000259,PROP-009
TPV-0000260,PROP-008
TPV-0000261,PROP-005
TPV-0000262,PROP-010
TPV-0000263,PROP-011
TPV-0000264,PROP-012
TPV-0000265,PROP-011
TPV-0000266,PROP-008
TPV-0000267,PROP-004
TPV-0000268,PROP-012
TPV-0000269,PROP-002
TPV-0000270,PROP-008
TPV-0000271,PROP-007
TPV-0000272,PROP-013
TPV-0000273,PROP-005
TPV-0000274,PROP-001
TPV-0000275,PROP-007
TPV-0000276,PROP-002
TPV-0000277,PROP-002
TPV-0000278,PROP-008
TPV-0000279,PROP-013
TPV-0000280,PROP-007
TPV-0000281,PROP-010
TPV-0000282,PROP-013
TPV-0000283,PROP-010
TPV-0000284,PROP-012
TPV-0000285,PROP-004
TPV-0000286,PROP-005
TPV-0000287,PROP-001
TPV-0000288,PROP-012
