from,to
NET-00001,ZONE-0001
NET-00002,ZONE-0002
NET-00003,ZONE-0002
NET-00004,ZONE-0003
NET-00005,ZONE-0003
NET-00006,ZONE-0004
NET-00007,ZONE-0005
NET-00008,ZONE-0006
NET-00009,ZONE-0006
NET-00010,ZONE-0007
NET-00011,ZONE-0008
NET-00012,ZONE-0008
NET-00013,ZONE-0009
NET-00014,ZONE-0010
NET-00015,ZONE-0010
NET-00016,ZONE-0011
NET-00017,ZONE-0011
NET-00018,ZONE-0012
NET-00019,ZONE-0012
NET-00020,ZONE-0013
NET-00021,ZONE-0013
NET-00022,ZONE-0014
NET-00023,ZONE-0015
NET-00024,ZONE-0016
NET-00025,ZONE-0016
NET-00026,ZONE-0017
NET-00027,ZONE-0017
NET-00028,ZONE-0018
NET-00029,ZONE-0018
NET-00030,ZONE-0019
NET-00031,ZONE-0019
NET-00032,ZONE-0020
NET-00033,ZONE-0021
NET-00034,ZONE-0021
NET-00035,ZONE-0022
NET-00036,ZONE-0022
NET-00037,ZONE-0023
NET-00038,ZONE-0024
NET-00039,ZONE-0024
NET-00040,ZONE-0025
NET-00041,ZONE-0025
NET-00042,ZONE-0026
NET-00043,ZONE-0026
NET-00044,ZONE-0027
NET-00045,ZONE-0027
NET-00046,ZONE-0028
NET-00047,ZONE-0028
NET-00048,ZONE-0029
NET-00049,ZONE-0030
NET-00050,ZONE-0030
NET-00051,ZONE-0031
NET-00052,ZONE-0032
NET-00053,ZONE-0032
NET-00054,ZONE-0033
NET-00055,ZONE-0033
NET-00056,ZONE-0034
NET-00057,ZONE-0034
NET-00058,ZONE-0035
NET-00059,ZONE-0036
NET-00060,ZONE-0036
NET-00061,ZONE-0037
NET-00062,ZONE-0037
NET-00063,ZONE-0038
NET-00064,ZONE-0039
NET-00065,ZONE-0039
NET-00066,ZONE-0040
NET-00067,ZONE-0040
NET-00068,ZONE-0041
NET-00069,ZONE-0041
NET-00070,ZONE-0042
NET-00071,ZONE-0043
NET-00072,ZONE-0043
NET-00073,ZONE-0044
NET-00074,ZONE-0045
NET-00075,ZONE-0045
NET-00076,ZONE-0046
NET-00077,ZONE-0046
NET-00078,ZONE-0047
NET-00079,ZONE-0048
NET-00080,ZONE-0048
NET-00081,ZONE-0049
NET-00082,ZONE-0049
NET-00083,ZONE-0050
NET-00084,ZONE-0050
NET-00085,ZONE-0051
NET-00086,ZONE-0052
NET-00087,ZONE-0052
NET-00088,ZONE-0053
NET-00089,ZONE-0053
NET-00090,ZONE-0054
NET-00091,ZONE-0054
NET-00092,ZONE-0055
NET-00093,ZONE-0056
NET-00094,ZONE-0057
NET-00095,ZONE-0058
NET-00096,ZONE-0058
NET-00097,ZONE-0059
NET-00098,ZONE-0060
